operation_type|execution_duration_MICROSECONDS|result_code|original_start_time

ComplexRead1|10268627|0|20000000
ComplexRead1|7405151|1|30000000
ComplexRead1|9949442|0|40000000
ComplexRead2|10608287|0|20000000
ComplexRead2|7648591|20|30000000
ComplexRead2|18522524|48|40000000
ComplexRead3|16908594|1|20000000
ComplexRead3|16854463|1|30000000
ComplexRead3|20261852|1|40000000
ComplexRead4|8111771|0|20000000
ComplexRead4|5348741|0|30000000
ComplexRead4|8031796|0|40000000
ComplexRead5|9885213|4|20000000
ComplexRead5|10751978|0|30000000
ComplexRead5|10113983|3|40000000
ComplexRead6|8061801|0|20000000
ComplexRead6|12186931|0|30000000
ComplexRead6|7704000|0|40000000
ComplexRead7|7970133|1|20000000
ComplexRead7|7106328|1|30000000
ComplexRead7|8037058|1|40000000
ComplexRead8|12852269|549|20000000
ComplexRead8|18205446|680|30000000
ComplexRead8|14174670|243|40000000
ComplexRead9|10051342|1|20000000
ComplexRead9|7404658|1|30000000
ComplexRead9|9863718|1|40000000
ComplexRead10|8282284|1|20000000
ComplexRead10|7795276|1|30000000
ComplexRead10|9404605|1|40000000
ComplexRead11|10023761|1|20000000
ComplexRead11|10061840|1|30000000
ComplexRead11|9960659|1|40000000
ComplexRead12|10101356|0|20000000
ComplexRead12|6871189|0|30000000
ComplexRead12|8013765|0|40000000
SimpleRead1|5315652|1|-1
SimpleRead1|7333380|1|-1
SimpleRead1|5107852|1|-1
SimpleRead1|9602763|1|-1
SimpleRead1|5274158|1|-1
SimpleRead2|10466750|1|-1
SimpleRead2|12166891|1|-1
SimpleRead2|10396463|1|-1
SimpleRead2|10572188|1|-1
SimpleRead2|7985560|1|-1
SimpleRead3|9942616|1|-1
SimpleRead3|6375610|1|-1
SimpleRead3|7625194|1|-1
SimpleRead3|8703334|1|-1
SimpleRead3|5974031|1|-1
SimpleRead4|8056479|2|-1
SimpleRead4|10503131|6|-1
SimpleRead4|10471148|6|-1
SimpleRead4|7983569|3|-1
SimpleRead4|12318988|4|-1
SimpleRead5|7599138|5|-1
SimpleRead5|14587702|2|-1
SimpleRead5|15021106|5|-1
SimpleRead5|13907457|2|-1
SimpleRead5|11814961|2|-1
SimpleRead6|9333483|0|-1
SimpleRead6|11341877|12|-1
SimpleRead6|7807074|10|-1
SimpleRead6|9945380|1|-1
SimpleRead6|7911602|0|-1
