SF1 full paralellism, no Flink sort

operation_type|scheduled_start_time|actual_start_time|execution_duration_MICROSECONDS|result_code|original_start_time
ComplexRead12|1738515240402|1738515235414|19897439|0|20000000
ComplexRead12|1738515241402|1738515255311|19973066|2|30000000
ComplexRead12|1738515242402|1738515275284|19932032|1|40000000
ComplexRead11|1738515789409|1738515784420|22214836|1|20000000
ComplexRead11|1738515790409|1738515806636|27846025|1|30000000
ComplexRead11|1738515791409|1738515834482|21828228|1|40000000
ComplexRead10|1738515474598|1738515469609|13613264|1|20000000
ComplexRead10|1738515475598|1738515483223|14189785|1|30000000
ComplexRead10|1738515476598|1738515497413|13943842|1|40000000
ComplexRead9|1738515939289|1738515934300|38264210|1|20000000
ComplexRead9|1738515940289|1738515972564|38185952|1|30000000
ComplexRead9|1738515941289|1738516010750|42056058|1|40000000
ComplexRead8|1738529842119|1738529837133|115328996|326|20000000
ComplexRead8|1738529843119|1738529952462|105786134|0|30000000
ComplexRead8|1738529844119|1738530058248|128340030|271|40000000
ComplexRead7|1738530292212|1738530287226|25935367|1|20000000
ComplexRead7|1738530293212|1738530313161|25807630|1|30000000
ComplexRead7|1738530294212|1738530338969|28249055|1|40000000
ComplexRead6|1738530424265|1738530419275|21850226|0|20000000
ComplexRead6|1738530425265|1738530441126|21912524|0|30000000
ComplexRead6|1738530426265|1738530463039|21805415|0|40000000
ComplexRead5|1738530572323|1738530567334|61461644|19|20000000
ComplexRead5|1738530573323|1738530628796|62413495|74|30000000
ComplexRead5|1738530574323|1738530691210|67568118|15|40000000
ComplexRead4|1738530826088|1738530821098|19812832|0|20000000
ComplexRead4|1738530827088|1738530840912|20034984|0|30000000
ComplexRead4|1738530828088|1738530860947|19991581|0|40000000
ComplexRead3|1738530951437|1738530946459|25927610|1|20000000
ComplexRead3|1738530952437|1738530972386|26781606|1|30000000
ComplexRead3|1738530953437|1738530999168|22531595|1|40000000
ComplexRead2|1738531143439|1738531138452|105397923|13|20000000
ComplexRead2|1738531144439|1738531243851|93488556|75|30000000
ComplexRead2|1738531145439|1738531337340|91120807|60|40000000
ComplexRead2|1738531961686|1738531956722|93723972|13|20000000
ComplexRead1|1738531525038|1738531520050|57012346|0|20000000
ComplexRead1|1738531526038|1738531577063|49006913|0|30000000
ComplexRead1|1738531527038|1738531626070|58611137|0|40000000
SimpleRead1|1738532050445|1738532050447|12468735|1|-1
SimpleRead1|1738532463711|1738532463711|9720126|1|-1
SimpleRead1|1738532363614|1738532363615|9490239|1|-1
SimpleRead1|1738532157145|1738532157146|11566619|1|-1
SimpleRead1|1738532260002|1738532260002|9828022|1|-1
SimpleRead2|1738532062915|1738532062915|20641521|1|-1
SimpleRead2|1738532168712|1738532168712|17420296|1|-1
SimpleRead2|1738532269830|1738532269830|22332639|1|-1
SimpleRead2|1738532373105|1738532373105|17129234|1|-1
SimpleRead2|1738532473431|1738532473431|15698335|1|-1
SimpleRead3|1738532083556|1738532083557|17910392|1|-1
SimpleRead3|1738532186132|1738532186133|18433636|1|-1
SimpleRead3|1738532292162|1738532292163|17865175|1|-1
SimpleRead3|1738532390234|1738532390234|17728213|1|-1
SimpleRead3|1738532489129|1738532489129|17756720|1|-1
SimpleRead4|1738532101467|1738532101468|17903843|7|-1
SimpleRead4|1738532204566|1738532204566|17917024|3|-1
SimpleRead4|1738532310028|1738532310028|17742078|2|-1
SimpleRead4|1738532407962|1738532407963|17825899|4|-1
SimpleRead4|1738532506885|1738532506886|17849819|2|-1
SimpleRead5|1738532119371|1738532119372|17939527|0|-1
SimpleRead5|1738532222483|1738532222483|17899861|0|-1
SimpleRead5|1738532327770|1738532327770|17892386|5|-1
SimpleRead5|1738532425788|1738532425789|18017250|12|-1
SimpleRead5|1738532524735|1738532524736|17877539|5|-1
SimpleRead6|1738532137311|1738532137311|19834433|0|-1
SimpleRead6|1738532240382|1738532240384|19618391|1|-1
SimpleRead6|1738532345662|1738532345662|17952077|15|-1
SimpleRead6|1738532443806|1738532443806|19905011|0|-1
SimpleRead6|1738532542613|1738532542613|17889313|1|-1
