operation_type|execution_duration_MICROSECONDS|result_code|original_start_time

ComplexRead1|897210632|37|10000000
ComplexRead1|889301425|12|10000000
ComplexRead1|861012937|12|10000000
ComplexRead2|1028110344|70|10000000
ComplexRead2|1058798964|70|10000000
ComplexRead2|1088920492|70|10000000
ComplexRead3|101835430|1|10000000
ComplexRead3|99860524|1|10000000
ComplexRead3|96870007|1|10000000
ComplexRead4|212350807|0|10000000
ComplexRead4|215453678|0|10000000
ComplexRead4|211023786|0|10000000
ComplexRead5|826962336|262|10000000
ComplexRead5|835997321|298|10000000
ComplexRead5|816433799|215|10000000
ComplexRead6|223654327|0|10000000
ComplexRead6|222634093|0|10000000
ComplexRead6|222623891|0|10000000
ComplexRead7|292699571|1|10000000
ComplexRead7|312437331|1|10000000
ComplexRead7|300148926|1|10000000
ComplexRead8|0|-1|Did Not Run
ComplexRead8|0|-1|Did Not Run
ComplexRead8|0|-1|Did Not Run
ComplexRead9|651763553|1|10000000
ComplexRead9|682353754|1|10000000
ComplexRead9|641264523|1|10000000
ComplexRead10|64122960|1|10000000
ComplexRead10|74519468|1|20000000
ComplexRead10|62294365|1|30000000
ComplexRead11|207919651|1|10000000
ComplexRead11|226276000|1|20000000
ComplexRead11|207652951|1|30000000
ComplexRead12|281670499|0|10000000
ComplexRead12|230266900|0|10000000
ComplexRead12|274550973|1|20000000
SimpleRead1|38934630|1|-1
SimpleRead1|45848481|1|-1
SimpleRead1|49716367|1|-1
SimpleRead1|42707076|1|-1
SimpleRead1|45339488|1|-1
SimpleRead2|157447000|1|-1
SimpleRead2|139270781|1|-1
SimpleRead2|144083280|1|-1
SimpleRead2|140607410|1|-1
SimpleRead2|146160853|1|-1
SimpleRead3|136125184|1|-1
SimpleRead3|144233367|1|-1
SimpleRead3|128497914|1|-1
SimpleRead3|124690207|1|-1
SimpleRead3|137161178|1|-1
SimpleRead4|126699465|3|-1
SimpleRead4|114137901|6|-1
SimpleRead4|120956801|9|-1
SimpleRead4|115815896|13|-1
SimpleRead4|117027442|101|-1
SimpleRead5|108287597|3|-1
SimpleRead5|111971186|2|-1
SimpleRead5|111593006|4|-1
SimpleRead5|118991116|2|-1
SimpleRead5|114818480|6|-1
SimpleRead6|153894933|0|-1
SimpleRead6|155873487|95|-1
SimpleRead6|150577774|0|-1
SimpleRead6|148873638|0|-1
SimpleRead6|158164119|1|-1
