createTime|dependencyTime|account|loanId|amount
1669690552801|1643192605506|121034239985585631|212513607416547529|20821660.46
1669690691711|1663352426174|4889783295417521293|4740038607807450243|12960535.71
1669690719739|1649208545204|4771282330222343442|4843902874213687442|40955782.48
1669690818379|1666853479077|258112553643674974|289637751035267192|3845661.18
1669691933069|1668388838071|4872894796814882209|4906390319043448128|7364797.32
1669692313828|1659537703627|4831517975238424085|4877398396442255678|29722234.04
1669692441719|1667759227833|292452500802378417|165507286305869902|39557151.79
1669693363852|1667807929857|4703165385858351210|4904419994206470240|55298503.27
1669693609089|1668818549042|4907797693926999313|4861072847793029930|2245883.64
1669693896767|1669075808323|281474976710658715|296956100429743796|26130214.56
1669694552324|1667212135390|4892035095231211261|4902449669369501598|33550822.37
1669694737044|1637749141928|4766215780641543174|4806466702311164978|40950774.52
1669694828884|1664467502821|4893442470114757691|4797178028079712144|25839966.23
1669694988163|1668816209473|4755238256549839089|4907797693927008252|204603.08
1669696247273|1660732577700|269653027688809539|126663739519795856|14854376.94
1669697118540|1669627061565|4910330968717403959|4866702347327248352|1885879.43
1669697139556|1667629582376|292171025825665381|262897628247755482|26662061.63
1669697231746|1625661242124|131448814123876944|155655662120993139|1068801.29
1669697245024|1666453213321|4899916394579107815|4846999098957501288|57069.14
1669697662093|1624560038113|4763682505851155449|4745105157388247012|6000507.51
1669698192883|1664440812372|281756451687368054|276971377083286374|67664.44
1669698212896|1669244611810|4908923593833842810|4866702347327243556|37580739.69
1669698331687|1653199220171|245164704714987648|130885864170458872|3101394.44
1669698421432|1669293080810|4909205068810555122|4908923593833842991|623400.79
1669698429943|1669505684101|298363475313304099|217017207043921065|7257500.92
1669698540542|1655013266216|251075679225905953|245727654668403192|57202854.57
1669698797643|1668838800862|4907797693927014514|4872331846861465502|978198.13
1669698947048|1669557677358|298363475313304070|213639507323393177|826506.15
1669699793956|1652121117272|4853191548445136408|4814629476635774357|3023961.39
1669700054353|1669634909025|4910330968717411180|4789015253755111824|4639131.89
1669700558913|1662362227276|4886687070673712461|4884998220813443247|902549.13
1669700679340|1666223975210|4880776096162788529|4899353444625686621|22228974.71
1669701322309|1668207626082|294141350662637735|249668304342353289|2772309.97
1669701682778|1665401547618|284852676431188703|230809480902740921|1438096.54
1669701843621|1666587594806|286541526291454820|288793326105137340|121429.5
1669702153722|1666013000755|286823001268165842|284852676431188382|23571965.64
1669702328730|1668527982281|4906671794020161587|4734972058226659049|26353544.21
1669702515636|1654184209437|4859946947886195579|4789296728731817379|6195290.95
