createTime|dependencyTime|companyId|loanId|loanAmount|balance|loanUsage|interestRate|org
1669699761538|1669188705877|14293651161810|298926425266717653|81442979.0|81442979.0|weddings|0.044|LightStream
1669712475157|1668457550907|14293651162314|298926425266718349|19008185.0|19008185.0|renovations|0.083|BlueVine
1669713875416|1667524724957|14293651164795|298926425266721605|25861804.0|25861804.0|funerals|0.025|Wells Fargo
1669730228105|1599947495612|3298534884230|298926425266717902|48306127.0|48306127.0|funerals|0.009|Funding Circle
1669733782258|1667983320149|14293651164662|298926425266721453|42277350.0|42277350.0|medical expenses|0.027|Funding Circle
1669740752684|1642427261121|9895604650735|298926425266717694|63624272.0|63624272.0|debt consolidation|0.001|Navy Federal Credit Union
1669751480537|1666856204273|14293651162825|298926425266719057|46170954.0|46170954.0|renovations|0.07|Fundrise
1669752209976|1668032234506|14293651164685|298926425266721482|37827083.0|37827083.0|major purchases|0.008|LightStream
1669753561353|1634578690884|8796093022480|298926425266717032|57477934.0|57477934.0|vacations|0.074|Bank of America
1669763384739|1613043634630|5497558139356|298926425266717304|87652542.0|87652542.0|major purchases|0.014|Bank of America
1669766033614|1667524724957|14293651164795|299207900243432258|27077206.0|27077206.0|other|0.023|SunTrust
1669769785232|1652949252380|12094627906174|299207900243428184|20133439.0|20133439.0|business ventures|0.1|LightStream
1669772479061|1666782692255|14293651161786|299207900243428263|41714261.0|41714261.0|debt consolidation|0.07|American Express
1669774467273|1662189243480|13194139535979|299207900243430937|11297111.0|11297111.0|investing|0.044|LendingPoint
1669777412638|1664773121266|14293651163798|299207900243431007|79756226.0|79756226.0|other|0.039|Citibank
1669786227865|1606043776031|4398046512466|299207900243429210|13947070.0|13947070.0|renovations|0.053|Prosper
1669788111115|1600956905954|3298534886456|299207900243431538|77889228.0|77889228.0|medical expenses|0.028|Kabbage
1669788690539|1668458763913|14293651161649|299207900243428080|71109804.0|71109804.0|renovations|0.015|LendingClub
1669790200369|1650578375934|12094627907504|299207900243430019|567693.0|567693.0|vacations|0.024|SunTrust
1669795526736|1657260169066|13194139536441|299207900243431540|56925535.0|56925535.0|debt consolidation|0.019|LendingPoint
1669796095753|1657260169066|13194139536441|299207900243431542|11461673.0|11461673.0|education|0.031|Fundbox
1669797610678|1665757860950|14293651164877|299207900243432356|58723266.0|58723266.0|vacations|0.038|State Farm Bank
1669798299293|1664664504930|14293651161568|299207900243427967|17551389.0|17551389.0|vacations|0.046|LendingClub
1669800684502|1599031578715|3298534884538|299207900243428985|20972643.0|20972643.0|vacations|0.021|Chase Bank
1669804848142|1669566742586|15393162789760|299207900243428547|98767104.0|98767104.0|medical expenses|0.092|Fundrise
1669811432640|1664588409114|14293651161805|299207900243428296|18179037.0|18179037.0|education|0.088|SoFi
1669834568151|1669813707297|15393162789294|299207900243427887|18917532.0|18917532.0|funerals|0.065|BlueVine
1669843675649|1668676433459|14293651162015|299207900243428592|46031075.0|46031075.0|investing|0.005|PNC Bank
1669850151869|1656468977901|13194139534457|299207900243428880|89519130.0|89519130.0|weddings|0.093|SunTrust
1669850414886|1668467937770|14293651164543|299489375220142611|41659037.0|41659037.0|investing|0.095|SoFi
1669851348607|1651858888757|12094627906436|299489375220139209|6007205.0|6007205.0|weddings|0.005|OnDeck
1669851942808|1658623301783|13194139535338|299489375220140759|63203180.0|63203180.0|business ventures|0.094|Roofstock
1669858780209|1641286669385|9895604651368|299489375220139893|33069148.0|33069148.0|funerals|0.055|Marcus by Goldman Sachs
1669864140273|1650083667019|12094627907303|299489375220140404|96263328.0|96263328.0|weddings|0.087|US Bank
1669866532754|1600125108822|3298534885848|299489375220141407|97268936.0|97268936.0|weddings|0.034|Navy Federal Credit Union
1669870919770|1662441927110|13194139536509|299489375220142272|74025694.0|74025694.0|other|0.07|American Express
1669876168686|1657683820397|13194139533450|299489375220138163|17483922.0|17483922.0|education|0.024|SoFi
1669877291706|1632765405832|8796093024171|299489375220140673|54271797.0|54271797.0|major purchases|0.014|OnDeck
1669878184346|1647596765433|10995116278930|299489375220139580|38819126.0|38819126.0|major purchases|0.022|SoFi
1669881396348|1628383698941|7696581395882|299489375220139992|99797609.0|99797609.0|medical expenses|0.023|Roofstock
1669882304354|1637447379526|9895604651242|299489375220139707|22994114.0|22994114.0|major purchases|0.059|Peerform
1669889561200|1666615682652|14293651162790|299489375220140324|20187235.0|20187235.0|medical expenses|0.033|BlueVine
1669890448480|1665780277058|14293651161665|299489375220138759|83453064.0|83453064.0|weddings|0.033|PNC Bank
1669891450219|1666109311807|14293651164372|299489375220142395|88875351.0|88875351.0|vacations|0.077|Chase Bank
1669904737519|1654781002729|12094627907728|299489375220140979|65943875.0|65943875.0|vacations|0.01|LightStream
1669920860499|1667713459311|14293651164815|299489375220142939|91506588.0|91506588.0|funerals|0.011|Wells Fargo
1669925792157|1667742597805|14293651163810|299489375220141676|46596700.0|46596700.0|vacations|0.079|Avant
1669930813211|1650959480071|12094627907333|299489375220140446|42624879.0|42624879.0|investing|0.061|Avant
1669930831655|1657328003730|13194139536329|299489375220142029|74355213.0|74355213.0|vacations|0.05|TD Bank
1669938838591|1642731355389|9895604652340|299770850196851847|77284507.0|77284507.0|funerals|0.079|SoFi
1669943696792|1669376386864|15393162792264|299770850196853208|8847692.0|8847692.0|renovations|0.077|Best Egg
1669946871869|1615982187139|5497558142295|299770850196853229|65088247.0|65088247.0|vacations|0.099|LendingPoint
1669948402567|1669857984182|15393162791842|299770850196852636|59255404.0|59255404.0|weddings|0.042|SoFi
1669964559997|1651857979878|12094627909187|299770850196853503|94985194.0|94985194.0|other|0.035|Marcus by Goldman Sachs
1669970334283|1582222738692|685|299770850196849561|22450909.0|22450909.0|business ventures|0.034|Upstart
1669970876787|1610420536528|4398046514405|299770850196853077|53943706.0|53943706.0|vacations|0.018|Chase Bank
1669974146206|1655231781798|12094627905995|299770850196849246|23211043.0|23211043.0|education|0.031|Discover
1669976170439|1587813572523|1099511629765|299770850196851356|60787571.0|60787571.0|weddings|0.006|Chase Bank
1669976750249|1667989850211|14293651161300|299770850196848921|79782407.0|79782407.0|funerals|0.042|Chase Bank
1669985648236|1666782692255|14293651161786|299770850196849574|13067206.0|13067206.0|weddings|0.089|State Farm Bank
1669988703061|1667911767495|14293651161294|299770850196848913|72764709.0|72764709.0|vacations|0.049|Peerform
1669989331604|1643869505351|10995116279562|299770850196851108|1172957.0|1172957.0|major purchases|0.025|Peerform
1669990728253|1669579915647|15393162791215|299770850196851839|11058468.0|11058468.0|weddings|0.064|Bank of America
1670001954437|1664095370102|14293651163895|299770850196852428|31922998.0|31922998.0|investing|0.069|LendingPoint
1670004234064|1619991796399|6597069768055|299770850196850586|44382208.0|44382208.0|funerals|0.045|Best Egg
1670007040386|1601934664410|3298534886325|299770850196852656|63819057.0|63819057.0|funerals|0.096|Chase Bank
1670010030062|1651829245176|12094627908859|299770850196853100|33708814.0|33708814.0|renovations|0.037|BlueVine
1670013993561|1657450126207|13194139536079|299770850196852378|38313996.0|38313996.0|weddings|0.007|Upgrade
1670014041497|1666551007413|14293651164964|299770850196853801|5210211.0|5210211.0|business ventures|0.063|BlueVine
1670015702886|1668809852510|14293651164657|299770850196853414|9371447.0|9371447.0|major purchases|0.033|Patch of Land
1670022240031|1624548485678|7696581398311|299770850196853807|72043092.0|72043092.0|education|0.082|Navy Federal Credit Union
1670031384824|1663356016379|14293651164929|300052325173564398|79786618.0|79786618.0|vacations|0.056|Fundrise
1670031914593|1639512241084|9895604653835|300052325173564417|17708912.0|17708912.0|funerals|0.081|Upstart
1670041738579|1650346525720|12094627909179|300052325173564152|89552688.0|89552688.0|education|0.045|Prosper
1670041884351|1643621237531|10995116278345|300052325173560081|78526732.0|78526732.0|medical expenses|0.054|Capital One
1670044062484|1604910915898|4398046513307|300052325173562308|9869880.0|9869880.0|education|0.017|Fundrise
1670045434212|1607466725158|4398046511914|300052325173560404|65181855.0|65181855.0|major purchases|0.079|Best Egg
1670053585264|1621356609811|6597069767511|300052325173560465|73695609.0|73695609.0|debt consolidation|0.046|TD Bank
1670057854903|1604981827531|4398046511604|300052325173559955|50064174.0|50064174.0|business ventures|0.086|Discover
1670064410706|1604182666725|4398046512932|300052325173561799|60219283.0|60219283.0|renovations|0.098|LendingPoint
1670068426098|1669566742586|15393162789760|300052325173560517|60859099.0|60859099.0|debt consolidation|0.007|Capital One
1670080403452|1667954043122|14293651163223|300052325173562222|2233578.0|2233578.0|investing|0.097|State Farm Bank
1670083879503|1654369492195|12094627907594|300052325173562120|82966754.0|82966754.0|funerals|0.038|Marcus by Goldman Sachs
1670091913363|1663999049549|14293651162783|300052325173561622|72112669.0|72112669.0|business ventures|0.092|Earnest
