createTime|dependencyTime|fromId|toId|relation
1669693742113|1611078147202|4398046514728|5497558141056|business associate
1669694574213|1669566742586|14293651162502|15393162789760|business associate
1669699028031|1669235318384|14293651163189|2199023255833|business associate
1669721402097|1656233232878|10995116277817|12094627908413|business associate
1669728529979|1645735913096|7696581396753|10995116279712|business associate
1669728996422|1661955435871|12094627906058|13194139534500|business associate
1669736683618|1660507882363|10995116278035|13194139534753|business associate
1669750602948|1665853431132|1099511630814|14293651164132|business associate
1669751992978|1669735290506|6597069769656|15393162788918|business associate
1669781772871|1643665146913|10995116279325|4398046512668|business associate
1669792083824|1664579014214|14293651162440|4398046514151|business associate
1669797843873|1666877795468|12094627906992|14293651162387|business associate
1669803844403|1662484930988|2199023256545|13194139533466|business associate
1669807205614|1663593615938|14293651165016|2199023258065|business associate
1669808886359|1656832328796|13194139536781|10995116281757|business associate
1669810402354|1661030485234|13194139534110|6597069767986|business associate
1669814616595|1645508563674|10995116279597|9895604653535|business associate
1669815320435|1645532138351|5497558139381|10995116281375|business associate
1669825113552|1663851771008|7696581395499|14293651162144|business associate
1669832260359|1608639426595|4398046513789|1099511631696|business associate
1669840637054|1667821006317|14293651162607|13194139537211|business associate
1669852043004|1667501755025|14293651161154|13194139534920|business associate
1669869827417|1658215572190|13194139533597|6597069766723|business associate
1669870348220|1669150706896|4398046513589|14293651164284|business associate
1669874081075|1653359713612|12094627906596|1099511631134|business associate
1669878762307|1645536358452|8796093022649|10995116281655|business associate
1669886672001|1669051523346|14293651163722|2199023259190|business associate
1669905011897|1665742991285|13194139536941|14293651164959|business associate
1669912945421|1662931267673|14293651161567|4398046511556|business associate
1669913458420|1669841720240|10995116281126|15393162792501|business associate
1669925678973|1645493639248|3298534884130|10995116278582|business associate
1669931278111|1661221830850|5497558140089|13194139533856|business associate
1669939891232|1665680137936|14293651164602|5497558140994|business associate
1669953074011|1642081414183|4398046512718|9895604650934|business associate
1669961279103|1664194374541|7696581394479|14293651163026|business associate
1669961461185|1618508240142|4398046514542|6597069769418|business associate
1669966945269|1668980252514|14293651161204|14293651163223|business associate
1669970008472|1664579014214|3298534884735|14293651162440|business associate
1669971060808|1666253222213|7696581398187|14293651161535|business associate
1669982533830|1668038940111|3298534884120|14293651161892|business associate
1669989432276|1658953273077|8796093022419|13194139535316|business associate
1670008857593|1669579915647|1099511630342|15393162791215|business associate
1670010220176|1651179974798|12094627908417|2199023256020|business associate
1670013177645|1665574667289|14293651163976|1099511630282|business associate
1670013253771|1646365710511|7696581397539|10995116279604|business associate
1670017628956|1633453894468|8796093023856|1883|business associate
1670020647974|1664925076235|14293651164611|12094627908712|business associate
1670025764095|1656697125044|10995116278035|13194139536318|business associate
1670027050426|1669841720240|6597069768569|15393162792501|business associate
1670030467316|1668930308669|14293651161323|7696581397291|business associate
1670031150563|1657328003730|13194139536329|1099511630001|business associate
1670035141262|1667223344366|1099511630768|14293651162476|business associate
1670037966036|1667720572917|14293651162281|3298534884854|business associate
1670040780816|1655881722788|1099511630411|12094627908375|business associate
1670047960717|1664880238969|14293651163875|7696581394909|business associate
1670052800485|1661955435871|13194139534500|3298534883512|business associate
1670056671783|1656422979439|13194139536942|9895604653375|business associate
1670066383246|1669188705877|14293651161810|3298534883405|business associate
1670078284024|1669051523346|14293651163722|9895604652656|business associate
1670118049535|1668371334535|1099511627828|14293651162818|business associate
1670122159422|1667181986206|14293651164109|5497558140426|business associate
1670122833678|1632571508230|8796093025896|3057|business associate
1670132784776|1663255259465|2199023256997|14293651163570|business associate
1670133051509|1669566742586|1099511629395|15393162789760|business associate
1670135949660|1664539976632|5497558140458|14293651161710|business associate
1670137314050|1660335669530|2199023257060|13194139534435|business associate
1670150294849|1666605776939|14293651163675|14293651161289|business associate
1670152248602|1670094595223|15393162791508|14293651164266|business associate
1670152385777|1668651767038|14293651163579|1099511630724|business associate
1670162879664|1644090225975|1099511629394|10995116281353|business associate
1670165891951|1667854000526|14293651164941|8796093025428|business associate
1670178337884|1635506413546|8796093022770|4398046511155|business associate
1670180077848|1652188546065|12094627909268|8796093025510|business associate
