createTime|dependencyTime|accountId|loanId|amount
1669690420143|1667669983625|4903857044253054032|4824762575797357669|513431.11
1669691012711|1667176505784|290763650942114440|209135907696021548|4652043.58
1669691029543|1668651544478|4907234743973583479|4894849844998311994|16485317.41
1669691098293|1660179639933|230246530949320067|267964177828546705|8356875.26
1669691466103|1647989446312|4839962224539745287|4818851601286440145|36654877.22
1669691601268|1667918350732|4728498133762314113|4904701469183183229|88693402.94
1669692246894|1666374935004|4899634919602399619|4899071969648974158|470197.46
1669692465823|1666655987547|238127830297215441|289074801081844006|2887370.91
1669693232518|1665978421162|286823001268163905|278660226943552792|4658.36
1669693918553|1665604600315|4897101644812007355|4882746420999758396|3797871.27
1669693920010|1664331998148|162411061562049342|281474976710656513|9615826.86
1669694128515|1668170677725|271060402572362426|293859875685925293|30516090.33
1669694182774|1669437317307|4897383119788716354|4909768018763980338|10486311.17
1669694211688|1634253591367|4795207703242742852|4697254411347431751|31047685.2
1669694226407|1660217877899|4879650196255946787|4818007176356307595|45138700.13
1669694432763|1669222927158|4776348879803129036|4908923593833845142|19265753.04
1669694808426|1669336608319|4898790494672270762|4909486543787270378|34446136.86
1669694911250|1667038778414|290200700988692808|244320279784853361|37442436.04
1669694962250|1666590529399|4900479344532530089|4881901996069623234|115508.94
1669695316262|1663528434997|4890346245370940279|4876553971512117018|710356.2
1669695398187|1669505684101|298363475313304099|263460578201179306|2037681.85
1669695503951|1658421215167|4717520609670606777|4873739221745016109|13107898.17
1669695772767|1667655343933|4903857044253049266|4886968545650409771|8846904.38
1669697425308|1647571756933|4832925350121966417|4838554849656178418|31728525.21
1669697612061|1669419113202|4895694269928446831|4909768018763976903|1109483.27
1669697962585|1669695141615|4910612443694117191|4764245455804571194|1088584.07
1669698033183|1669153737887|4908642118857139340|4908642118857135669|13844471.68
1669698743178|1666434053034|288230376151715895|278378751966841379|27280178.09
1669698851856|1668752164310|4907516218950303772|4877116921465546580|4736512.34
1669698960392|1669673121664|298644950290012164|264023528154599092|24300535.1
1669699616971|1663096956029|272467777455919804|277252852059999141|1732619.18
1669699635586|1663986079196|4892035095231212022|4883872320906598814|59084761.57
1669699863464|1662468224960|161848111608629038|275282527223022743|23365534.04
1669699884848|1658947612587|4832643875145269806|4875428071605283029|20777038.65
1669699923856|1663324856575|4889783295417523551|4849813848724607458|1770902.28
1669700770330|1668342830088|4866139397373836303|4906108844066743509|4242751.57
1669700809810|1666192734204|287385951221584301|267119752898415369|61103074.26
1669701015475|1669378087886|4842214024353426546|4909486543787268899|30854699.83
1669701016934|1669419710892|265430903038154159|298082000336588125|31101825.11
1669701372619|1639596586759|200973133371408809|177329235327713549|4181163.76
1669701400029|1668552848990|4785074604081155625|4906671794020157625|3274471.48
1669702176368|1669413154433|4909486543787264586|4872331846861456987|18376156.54
1669702815036|1668665983526|4907234743973586428|4885561170766862082|14204221.05
1669703611010|1667397158707|4903012619322924884|4859946947886191365|385875.23
1669703688600|1666872650224|167477611142848878|289637751035270213|35220426.52
1669704131438|1669369480979|221802281648000234|297800525359876152|15759935.3
1669704179767|1668133885498|4905545894113326760|4897946069742133634|11531310.56
1669704381325|1668962481508|4908079168903721386|4897664594765422201|50974378.97
1669704647640|1650975856885|4846436149004082822|4849532373747896987|2284983.68
1669704774923|1666971938285|4901605244439366992|4865576447420401698|1464868.76
1669705041519|1669457735125|298082000336592521|267401227875127942|479512.89
1669705086529|1666240212996|282600876617504995|287667426198294319|1632615.81
1669705532984|1658815059315|4875146596628562794|4854598923328684563|6643085.02
1669705816846|1667779667113|164944336352450935|292733975779086211|9797822.91
1669706067943|1667090243179|182395784908512982|290482175965401792|31473793.56
1669706135521|1662550392747|4887250020627120227|4759460381200482394|3230146.82
1669706224431|1668324824713|290763650942109305|294422825639347229|9112264.32
1669706763817|1664509685359|4866983822303957817|4893723945091468185|3457725.55
1669706806815|1669213106861|4754956781573128287|4908923593833850763|53315.62
1669706832077|1663739058453|4891190670301082260|4732157308459556616|1100818.45
1669707148048|1665268913788|4896257219881870096|4843339924260263276|475127.48
1669707553986|1665457479671|4892316570207928748|4896820169835292797|5914759.79
1669707808347|1666415194418|4899916394579113927|4888938870487392839|33980164.13
1669707872767|1658194403943|4873176271791603393|4661225614328473234|6346249.76
1669708509552|1651784205582|4845873199050667271|4852347123515007120|34103623.23
1669709182295|1669378015140|4909486543787267659|4882746420999753132|11228745.78
1669709405158|1658938451327|4875428071605273037|4868391197187506494|70396738.93
1669709630233|1668398044037|4906390319043448768|4899353444625680802|44787797.91
1669709926800|1649235832916|232216855786296463|225461456345238704|2185974.28
1669710288203|1661219030738|271341877549073047|241787004994453913|476801.93
1669710448237|1667776474663|285415626384609532|292733975779084941|14224941.85
1669710856224|1667157443099|4864169072536856493|4902168194392791092|399192.4
1669710944568|1666212712069|4899071969648970610|4898509019695548182|925814.23
1669711019268|1623072874614|4758897431247077536|4707950460462442430|36794728.0
1669712454054|1668324888769|4858821047979358786|4906108844066743248|12986052.94
1669712720267|1661872284611|4823073725937090799|4884998220813435062|24471177.74
1669713392634|1633931298728|4790141153661951686|4794081803335897786|50373.11
1669713790634|1667194447494|4902449669369511434|4827577325564470798|42398683.7
1669714225815|1657937946590|251075679225910446|260645828434070718|381798.4
1669714317595|1637542256660|4805903752357748855|4793800328359187394|9314808.83
1669714337471|1668263302477|4845310249097243402|4905827369090030161|3776474.95
1669714791458|1668321353003|4906108844066740987|4888375920533966990|1480074.79
1669714812153|1663329492391|4889783295417521842|4857132198119083528|109263.66
1669715034827|1669655667301|4910330968717406902|4883309370953178913|2601238.42
1669715239485|1669549661205|4846436149004081117|4910049493740687029|39762952.52
1669715451981|1668798562657|152840912353889014|295830200522901248|7133138.57
1669715532436|1669442915076|298082000336589786|293296925732506699|10107129.51
1669715663979|1668580328602|4906953268996875384|4845310249097238053|1010170.87
1669715690998|1667991257296|4882464946023042660|4904982944159893731|35943326.32
1669715756287|1645459902308|180988410024953671|219831956811023516|3356709.75
1669715840181|1634581812494|4796333603149593388|4790704103615374423|66817148.93
1669715882623|1669408520746|4909486543787265998|4771282330222332332|14396895.56
1669716332129|1645938440530|4833206825098691062|4687402787162564784|524745.23
1669716577904|1666035593956|286541526291455148|286823001268162950|11022241.4
1669717056217|1666594629019|4900479344532521738|4847562048910918098|1446697.54
1669717071123|1644556436575|217017207043922225|199847233464569697|55529622.96
1669717120561|1661522897091|4883872320906594567|4875709546581984648|4488848.68
1669717615633|1665050781250|283726776524349915|204632308068652161|1313434.96
1669717777373|1654846588205|4862198747699877056|4857132198119083166|9329455.85
1669718048705|1667125958853|4892035095231205969|4902168194392787736|4728675.58
1669718150756|1669042330820|296674625453035521|255297803876567568|22141958.8
1669718678209|1662248983101|4761430706037468809|4886405595696995417|359839.33
1669718767335|1654023725233|102738366499392372|247697979505379146|11442498.14
1669718835063|1667177175957|4902449669369507827|4874583646675148120|18972984.02
1669718878701|1667085580836|4902168194392801367|4897383119788713854|38580556.99
1669718948038|1655254178644|121034239985589765|251920104156041777|1038895.97
1669719264359|1663883514404|4891753620254501407|4841932549376711099|55024996.6
1669719707201|1653715486780|4854880398305401374|4858539573002637321|21403334.21
1669719888413|1661656889428|4884435270860017619|4875146596628564403|205308.54
1669720061085|1668469417696|256142228806701149|294985775592770102|29992467.8
1669720243427|1669533117106|4850658273654748826|4910049493740691833|15253693.76
1669720318175|1667419346336|288793326105136118|291326600895530921|23741753.53
1669720391040|1662201972796|4886124120720294224|4837147474772633655|494691.18
1669720681611|1653284465010|4857132198119088700|4830673550308283652|53657688.96
1669720786215|1667928658883|4904701469183194160|4892035095231209477|152806.99
1669721535519|1669153995702|4908642118857136985|4884435270860017855|17250551.54
1669721793136|1667065119095|4886124120720291194|4901886719416082643|4745865.48
1669722272557|1668401005447|4906390319043457826|4859383997932773216|1874961.55
1669722349271|1649400921624|4788170828824986194|4844465824167110889|36800300.37
1669722937283|1666358986670|287948901175002410|267682702851834683|5224696.2
1669724646240|1663741050365|4878524296349098175|4891190670301074437|550937.09
1669724899681|1668408953450|4833206825098682841|4906390319043450039|16877927.47
1669725015450|1669148694058|284852676431185770|296956100429743282|2543592.07
1669725271069|1648559870045|229965055972612862|167477611142844553|7161648.97
1669725374311|1648016692630|4825607000727503486|4839962224539740411|1511936.25
1669726082640|1668927046684|296393150476327716|291326600895533218|18298950.38
1669726100501|1667691644953|292452500802379858|202099033278256002|2069934.43
1669726147823|1667058160099|290200700988693252|281193501733949583|4852888.24
1669726484508|1668634387537|4849250898771197473|4906953268996875803|20764149.48
1669726499979|1666352431498|287948901175007783|274438102292893681|4992486.89
1669726906480|1668464009265|294704300616062359|218706056904183109|4247857.24
1669727428304|1662360761956|275001052246313021|254171903969723706|8840083.62
1669727798276|1667449733161|291608075872246478|112871465660977253|502126.42
1669727917041|1662090296897|4885842645743576509|4868954147140933338|2237068.39
1669728002728|1656178328229|4820258976169990250|4866420872350535433|3398192.78
1669728252192|1668221970621|4822229301006959479|4905827369090023968|10715617.65
1669728299505|1669557677358|298363475313304070|234750130576692379|12849738.25
1669728529099|1667056889394|290200700988690967|282882351594212164|26901790.88
1669728857716|1667640492066|292171025825666719|238972255227350496|786917.74
