createTime|dependencyTime|personId|loanId|loanAmount|balance|loanUsage|interestRate|org
1669693136232|1661094679435|26388279073333|4910612443694113607|79446882.0|79446882.0|major purchases|0.05|US Bank
1669693462305|1654072511945|24189255811183|4910612443694104745|17526638.0|17526638.0|medical expenses|0.094|Roofstock
1669693711301|1630544690967|17592186051039|4910612443694113491|16079787.0|16079787.0|debt consolidation|0.013|Patch of Land
1669695017726|1669626885001|30786325582675|4910612443694111208|72270982.0|72270982.0|education|0.037|Funding Circle
1669696293312|1669523606989|30786325581770|4910612443694110033|37789383.0|37789383.0|other|0.045|Best Egg
1669701179419|1627952282618|15393162792515|4910612443694109466|33804935.0|33804935.0|vacations|0.09|Bank of America
1669702680824|1658182305993|26388279066866|4910612443694104921|64636394.0|64636394.0|medical expenses|0.066|Patch of Land
1669702856574|1659886353528|26388279066773|4910612443694104796|52442831.0|52442831.0|funerals|0.047|Fundrise
1669704102587|1652711469825|24189255813352|4910612443694107649|80833129.0|80833129.0|vacations|0.057|OneMain Financial
1669704951583|1668918897927|28587302328783|4910612443694113465|5100632.0|5100632.0|vacations|0.079|OneMain Financial
1669710405199|1668539400062|28587302328463|4910612443694113045|17098161.0|17098161.0|renovations|0.087|Discover
1669711329246|1649522773223|21990232561328|4910612443694112403|64736645.0|64736645.0|investing|0.092|PNC Bank
1669711688205|1648231025640|21990232560125|4910612443694110738|49011117.0|49011117.0|other|0.099|Rocket Loans
1669715904492|1648089987823|21990232563445|4910612443694115283|98270604.0|98270604.0|weddings|0.089|Bank of America
1669718414763|1608960260560|8796093030018|4910612443694115108|29800338.0|29800338.0|funerals|0.009|Upgrade
1669722084309|1664592880853|28587302325173|4910612443694108620|46182349.0|46182349.0|business ventures|0.064|Capital One
1669729276845|1634138245768|17592186052195|4910612443694115072|43194700.0|43194700.0|weddings|0.007|Fundbox
1669731980148|1666403668070|28587302323350|4910612443694106189|97165588.0|97165588.0|business ventures|0.056|Citibank
1669738340567|1666970765802|28587302327659|4910612443694111950|54956206.0|54956206.0|business ventures|0.052|Marcus by Goldman Sachs
1669739098536|1624024668676|15393162793672|4910612443694110993|57096861.0|57096861.0|other|0.057|Bank of America
1669739930158|1615859881470|10995116280134|4910612443694107780|28585004.0|28585004.0|debt consolidation|0.043|Chase Bank
1669741710386|1613768975044|10995116278549|4910612443694105635|96005078.0|96005078.0|medical expenses|0.069|LightStream
1669748787597|1629732475486|15393162795711|4910612443694113814|63822636.0|63822636.0|medical expenses|0.036|American Express
1669751346396|1584343057638|3428|4910612443694109178|83237713.0|83237713.0|investing|0.083|American Express
1669754746451|1641221803745|19791209304206|4910612443694110226|88616422.0|88616422.0|weddings|0.098|US Bank
1669759395049|1596966883134|4398046513937|4910612443694108417|73085421.0|73085421.0|renovations|0.058|Upgrade
1669761429292|1651371277758|24189255812117|4910612443694105991|27234495.0|27234495.0|weddings|0.037|Marcus by Goldman Sachs
1669764766568|1579266101029|4905|4910893918670821800|530485.0|530485.0|debt consolidation|0.021|Fundbox
1669768899819|1595372783189|4398046514899|4910893918670820344|43899080.0|43899080.0|major purchases|0.045|Marcus by Goldman Sachs
1669770432298|1663931328539|28587302326136|4910893918670820585|7927441.0|7927441.0|vacations|0.084|Bank of America
1669773103073|1651328253081|24189255815365|4910893918670820954|37846829.0|37846829.0|vacations|0.059|State Farm Bank
1669773257708|1592754495339|4398046517988|4910893918670824518|77085545.0|77085545.0|education|0.083|Fundrise
1669774216004|1668163195960|28587302327106|4910893918670821840|59301368.0|59301368.0|investing|0.095|Avant
1669774865285|1664664430126|28587302329365|4910893918670824894|58333500.0|58333500.0|renovations|0.011|Patch of Land
1669775997593|1628721266131|15393162790162|4910893918670816984|71820339.0|71820339.0|debt consolidation|0.069|OneMain Financial
1669783865754|1658642512051|26388279071509|4910893918670821764|69836632.0|69836632.0|renovations|0.082|Rocket Loans
1669784967868|1603132119975|6597069768548|4910893918670817776|48044276.0|48044276.0|vacations|0.091|Peerform
1669785629329|1652945015203|24189255817596|4910893918670824025|22611482.0|22611482.0|debt consolidation|0.008|Kabbage
1669786417915|1590440809838|2199023259641|4910893918670820730|81951843.0|81951843.0|other|0.092|Wells Fargo
1669787037355|1608235873798|8796093023385|4910893918670816847|72045361.0|72045361.0|education|0.068|PNC Bank
1669787534942|1595872866644|4398046519094|4910893918670826020|93146182.0|93146182.0|debt consolidation|0.056|American Express
1669787977367|1653233823535|24189255816859|4910893918670823034|42564553.0|42564553.0|medical expenses|0.09|Capital One
1669788252317|1658926671909|26388279068501|4910893918670817753|38967039.0|38967039.0|vacations|0.05|LendingPoint
1669797081445|1666388312380|28587302322578|4910893918670815766|96189680.0|96189680.0|renovations|0.041|Best Egg
1669797522895|1641817647542|19791209306136|4910893918670823549|54623467.0|54623467.0|other|0.006|Patch of Land
1669804841631|1669549073226|30786325582254|4910893918670821254|50342516.0|50342516.0|renovations|0.01|Discover
1669810018839|1668681105707|28587302326429|4910893918670820903|80678700.0|80678700.0|debt consolidation|0.002|Wells Fargo
1669811591312|1635719370146|17592186052283|4910893918670825854|21933485.0|21933485.0|other|0.029|OneMain Financial
1669814291275|1665399608788|28587302325518|4910893918670819735|74937674.0|74937674.0|major purchases|0.061|OnDeck
1669815227527|1641320388440|19791209301311|4910893918670817061|68390434.0|68390434.0|other|0.06|LightStream
1669816660331|1606889707744|8796093027640|4910893918670822532|71288821.0|71288821.0|vacations|0.059|Chase Bank
1669817066903|1667103802289|28587302328584|4910893918670823851|69237661.0|69237661.0|renovations|0.048|Avant
1669817122649|1669277422564|28587302327747|4910893918670822740|85532612.0|85532612.0|investing|0.01|Chase Bank
1669820083982|1648256627803|21990232557696|4910893918670818146|49675278.0|49675278.0|business ventures|0.065|US Bank
1669820462023|1669574942231|30786325582793|4910893918670822016|88178264.0|88178264.0|business ventures|0.065|SunTrust
1669820975597|1625631986942|15393162793412|4910893918670821299|52299959.0|52299959.0|debt consolidation|0.029|Earnest
1669821066387|1632547102982|17592186047103|4910893918670818871|6813423.0|6813423.0|renovations|0.023|US Bank
1669821444952|1648498574785|21990232558758|4910893918670819601|89948106.0|89948106.0|major purchases|0.036|Chase Bank
1669822847155|1663738093175|28587302329096|4910893918670824554|86336846.0|86336846.0|renovations|0.006|Wells Fargo
1669828707418|1650723397295|24189255819070|4910893918670826034|44824069.0|44824069.0|education|0.021|Navy Federal Credit Union
1669831635550|1669005663819|28587302328882|4910893918670824257|30661761.0|30661761.0|major purchases|0.049|Rocket Loans
