createTime|dependencyTime|fromId|toId|relation|startTime|endTime|truncation_limit|truncation_order|amount_threshold
1669693203191|1606044192778|6597069773835|8796093022526|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669712798148|1667642384776|28587302326684|8796093025776|friends|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669713022250|1667698479964|8796093025679|28587302329854|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669718706724|1668728884527|2199023256343|28587302322521|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669722072712|1665143336307|19791209302386|28587302329984|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669730948690|1655253720951|24189255811396|8796093028022|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669733641350|1644819023772|8796093024646|21990232559022|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669754632075|1635598004439|17592186046654|8796093027924|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669815721847|1658372527043|26388279073105|2199023261048|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669818694748|1667141639741|28587302322898|17592186046723|parents|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669823860788|1644228934063|8796093023404|21990232561967|friends|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669847900049|1644178546378|21990232563356|13194139540817|friends|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1669987885929|1669015599800|28587302323875|28587302328218|parents|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670000062090|1654108407865|24189255815605|10995116278845|parents|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670006806882|1648586729122|10995116281185|21990232561009|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670010281110|1669538712519|8796093027829|30786325580118|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670029721936|1632969307149|8796093029913|17592186050346|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670042720815|1669289726768|24189255814255|28587302327380|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670057119138|1664637323466|28587302324130|28587302323272|parents|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670081072848|1603326229497|6597069773754|2199023261095|parents|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670084559070|1646176305556|21990232558071|17592186045180|friends|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670114113958|1655222205191|17592186051576|24189255814570|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670126787912|1639190612983|17592186048403|19791209305537|friends|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670147992787|1660414128695|26388279072946|4510|friends|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670149634296|1669579813406|28587302327769|30786325584488|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670165697549|1666146611756|28587302327280|24189255816797|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670173983874|1664988631070|28587302326611|2976|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670174540929|1664681762338|28587302325060|26388279072899|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670238824955|1668077732333|28587302328148|6597069770939|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670259782271|1666164909765|28587302325662|2199023263053|business associate|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670281717728|1661199138031|19791209305939|26388279072533|siblings|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670297248034|1669957131790|30786325579478|28587302327886|friends|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
1670307604973|1623477781072|2199023256628|13194139540201|friends|1669693203191|1672530454922|500|TIMESTAMP_DESCENDING|10000
