createTime|dependencyTime|fromId|toId|relation
1669703526215|1667243715497|15393162794511|28587302324966|siblings
1669706601927|1641025843738|17592186050904|19791209305220|siblings
1669718075797|1665945421405|2199023261327|28587302327158|friends
1669718764088|1637744424351|19791209300070|8796093028870|friends
1669720613620|1658236419373|26388279067883|21990232559909|siblings
1669730668603|1659393889789|26388279073712|2199023256610|business associate
1669734544517|1667665351733|17592186049159|28587302323501|other relatives
1669740799210|1616319292599|6597069773518|10995116278131|siblings
1669744733034|1668476448514|8796093025058|28587302329656|parents
1669744772234|1653335853454|24189255812886|10995116281640|friends
1669756235434|1667046892858|28587302327220|28587302324304|siblings
1669765431919|1667671613427|13194139537441|28587302324196|friends
1669768056388|1658812024062|15393162795436|26388279066852|other relatives
1669769232498|1648200143658|2656|21990232558610|business associate
1669769361827|1616688600718|10995116282963|10995116283241|other relatives
1669783852764|1667615057956|28587302322992|17592186051141|other relatives
1669787177844|1668869876730|28587302325143|19791209305356|siblings
1669787586536|1665649449851|24189255818587|28587302327945|parents
1669788630537|1638962808154|19791209301346|15393162789344|siblings
1669794306309|1663455689338|28587302325136|21990232556879|friends
1669794985537|1662480698803|26388279071283|26388279069892|siblings
1669800518535|1667835589561|28587302322854|17592186048693|business associate
1669802249237|1664886854906|28587302329421|2199023262824|parents
1669805905988|1667950537332|28587302323110|26388279074355|friends
1669807346843|1669092892564|28587302325112|26388279074301|parents
1669811250557|1663117573974|21990232555685|28587302327906|siblings
1669836440580|1667601471306|28587302327066|28587302325021|siblings
1669841483422|1669616765062|30786325583056|28587302322819|business associate
1669843497986|1655710829262|21990232555584|24189255812819|other relatives
1669855447095|1668547094343|4398046513857|28587302330169|friends
1669856800372|1661294865706|26388279068007|26388279070985|other relatives
1669860514761|1628703627591|8796093025444|15393162796176|business associate
1669871205850|1644709521716|21990232556250|19791209307303|parents
1669883607682|1660437433379|26388279072659|6597069767243|siblings
1669888267094|1669525566647|28587302327201|30786325585033|other relatives
1669889315247|1655569268769|24189255816957|15393162793083|siblings
1669891546982|1669345547744|30786325583327|4378|business associate
1669892035868|1669549073226|15393162796834|30786325582254|other relatives
1669894020005|1668681105707|28587302326429|19791209302493|friends
1669901408492|1668172125791|28587302325368|6025|other relatives
1669903495868|1662848766157|26388279073539|28587302326471|other relatives
1669905241342|1668395318781|17592186046631|28587302322863|business associate
1669909466480|1589314824940|2199023259823|2199023259685|friends
1669909801254|1668703831281|2830|28587302326168|siblings
1669922991245|1666005326087|4398046512578|28587302323579|friends
1669931640893|1653173582067|24189255815435|13194139538027|siblings
1669937183085|1668274316788|24189255814018|28587302328034|business associate
1669941762998|1659658066318|19791209307540|26388279070389|siblings
1669945553503|1668570275599|28587302322245|21990232557625|siblings
1669945849460|1669784442169|30786325583906|13194139538934|parents
1669961140660|1668401026279|28587302322689|13194139537436|business associate
1669967095802|1663181644202|28587302326346|19791209302369|business associate
1669969816988|1647337737679|13194139533553|21990232562526|friends
1669969877647|1665535155835|28587302329654|6597069769321|friends
1669973220801|1668076283360|15393162790868|28587302325005|parents
1669974407125|1666376340042|28587302323558|6597069769868|business associate
1669982257887|1658966093312|26388279072469|3774|parents
1669984687607|1664504933662|4398046515868|28587302325392|parents
1669985392185|1669244451873|17592186049593|28587302328040|other relatives
1669987208750|1639449058656|19791209305792|8796093028067|siblings
1669991640734|1666833903946|28587302323116|21990232560849|parents
1669996625517|1643832874325|21990232560199|17592186049711|siblings
1670001467802|1662248597677|26388279071441|15393162790752|siblings
1670017340354|1618032612182|13194139537924|8796093027258|business associate
1670025952923|1669592667307|17592186051039|30786325579555|business associate
1670027407116|1660383651778|2199023259124|26388279070985|friends
1670032050968|1664977228943|28587302329733|2199023258317|parents
1670039379001|1669635884225|30786325580478|41|business associate
1670053000392|1669523606989|21990232563291|30786325581770|friends
1670059766034|1665678155935|13194139540284|28587302322416|parents
1670064879794|1664922072508|28587302324669|19791209302871|friends
1670067165420|1633395939370|2199023263053|17592186045044|friends
1670073749724|1661607462474|24189255818297|26388279074096|parents
1670076047588|1634927241608|17592186052087|5251|siblings
1670085094538|1664465540607|24189255818128|28587302322699|friends
1670085232106|1662697481986|13194139535685|26388279070302|business associate
1670097612648|1666454326360|28587302329298|8796093024173|friends
1670097683547|1669778874263|26388279068501|30786325578345|friends
1670103791763|1665678155935|28587302322416|2199023259185|siblings
1670107284247|1669856306174|15393162790582|30786325578501|friends
1670107926898|1606868181509|8796093027829|8796093028963|siblings
1670110545444|1668891685567|28587302327550|21990232559673|siblings
1670110856749|1624974702840|2199023259046|15393162791479|siblings
1670123997584|1663978154199|28587302327618|24189255815470|business associate
1670125658386|1611948259060|4398046512897|10995116278741|parents
1670127681343|1669626885001|28587302328650|30786325582675|other relatives
1670132569975|1641323735384|19791209304568|17592186048720|siblings
1670143003064|1634212235428|7370|17592186045396|business associate
1670148408594|1624958481686|13194139534177|15393162792483|other relatives
1670148509618|1669855025192|30786325582272|10995116281007|parents
1670153148975|1619882674796|13194139541131|4666|parents
1670154791046|1665034032183|28587302323324|13194139536954|friends
1670165026930|1669894009765|8796093026360|30786325583156|business associate
1670168220057|1665772887723|19791209301738|28587302322451|friends
1670170174035|1668614612814|28587302323594|4398046512242|parents
1670177971787|1666767159176|743|28587302322980|friends
1670182797872|1660308883757|17592186047037|26388279067138|business associate
1670182873453|1644930255017|8796093027019|21990232558983|siblings
1670184513500|1658429191033|26388279067144|13194139537363|parents
1670194072292|1667517124826|10995116280840|28587302326766|business associate
1670195865755|1623019812863|13194139540141|13194139541005|siblings
1670201814262|1628721266131|15393162790162|15393162793940|siblings
1670207523825|1656632472350|26388279074308|15393162795548|parents
1670210381477|1663117573974|28587302327906|4398046517804|business associate
1670210946011|1668539400062|28587302328463|19791209304181|business associate
1670213553903|1644235226481|21990232559597|15393162791687|parents
1670229842854|1662556325048|19791209303572|26388279074355|other relatives
1670230399662|1643832874325|21990232560199|8796093024192|siblings
1670233320524|1648965150022|21990232555817|4398046513664|business associate
1670241954016|1630784582397|2199023259958|17592186050156|friends
1670247709852|1667517124826|28587302326766|24189255814614|friends
1670250950220|1669897573738|30786325584691|2199023256832|friends
1670252712426|1647844714857|21990232562715|17592186048700|business associate
1670257199529|1669972855655|13194139540169|30786325584031|parents
