createTime|dependencyTime|account|loanId|amount
1669690786435|1667714761543|4878805771325800998|4904138519229759866|8052837.57
1669694572386|1668699316867|4899916394579100190|4907234743973577074|4259426.46
1669698488439|1669121960561|4892879520161333431|4908642118857130133|642301.61
1669699670965|1656351208684|4866983822303953822|4845028774120522300|135067.22
1669701430239|1667224266416|4718365034600727466|4902449669369496138|1410344.38
1669707381757|1656529412020|255860753829986941|181832834955084176|1066421.76
1669708987942|1667884153496|293015450755793570|209135907696017826|69136.6
1669711190015|1631012740949|4724276009111650544|4784511654127730874|16335750.7
1669711746032|1666379597453|4866139397373821199|4899634919602389194|740693.95
1669713506605|1669195308618|4762556605944300026|4908923593833840981|23491173.01
1669714648903|1663139417118|4889220345464095067|4873176271791587585|13723054.13
1669715000934|1667335344112|291045125918818694|199565758487855347|32106853.02
1669717861969|1667979344128|4904982944159892955|4900197869555811223|17161096.25
1669723966059|1668696588104|4871487421931324062|4907234743973577131|27654832.76
1669724264035|1668791535180|4891190670301069925|4907516218950287765|37245687.33
1669724882980|1665143296193|4688528687069398403|4895694269928440673|3492051.23
1669725342189|1663353581638|4889783295417516905|4718365034600727057|39196593.47
1669730800736|1666884837823|4890909195324358737|4901323769462652996|21110966.6
1669734078632|1669581505545|293859875685924890|298363475313295374|3821421.04
1669734977711|1648340619127|4828140275517883818|4841088124446573443|21892717.74
1669735687056|1667224266416|4718365034600727466|4902449669369496138|560446.99
1669738483510|1668981694808|4899353444625679245|4908079168903709234|73784856.79
1669739444660|1640378960556|203506408161804937|111745565754130837|23775813.42
1669741098868|1668326430956|4906108844066734928|4882183471046328834|54824.85
1669744864845|1666001958802|4818851601286432056|4898509019695547200|16948008.36
1669747790564|1668713073443|291326600895529250|295548725546188970|6631207.31
1669749685030|1665900726901|231653905832870470|286541526291448174|58627.95
1669753328536|1658612518467|258956978573803911|262897628247752952|25723187.98
1669755836739|1669041284347|4908360643880420890|4696972936370717621|50415492.75
1669758037387|1668072220837|291889550848950308|293578400709214230|460509.36
1669758797395|1663879790645|4816599801472746629|4891472145277780687|54758709.56
1669759109889|1661219030738|271341877549073047|262334678294331803|58259262.2
1669759552550|1661768151528|4884716745836725885|4855443348258816993|112112.21
1669762533787|1658001276846|260645828434067974|244601754761560397|5834738.77
1669765337634|1668340673724|4906108844066734111|4839117799609597976|4540078.59
1669765529450|1668538987164|4906671794020156442|4771000855245619841|2733087.46
1669771011489|1665929640380|4898227544718836934|4896820169835283190|27613294.69
1669771213173|1669412519226|297800525359874497|258675503597093148|751853.47
1669774098035|1620459926749|4750171706969031133|4747638432178635076|4260735.18
1669774463826|1669642476703|4910330968717393921|4893160995138043905|1375543.45
1669779438707|1669036550074|291889550848950973|296674625453031860|4387080.68
1669779547997|1610713930173|4718646509577437485|4693313761673478373|9161807.8
1669785533788|1665242796717|255579278853275863|284289726477762677|3312981.66
1669786160382|1663644780075|4890909195324359988|4886968545650410299|8136022.83
1669786647280|1664461098319|273030727409336903|281756451687367024|4265061.65
1669787371664|1666692799594|4900760819509233272|4823918150867223515|7233877.75
1669788173393|1658653753901|4872613321838167088|4874583646675141267|343870.47
1669791337258|1667931987561|4857976623049212869|4904701469183181400|71156361.99
1669800676653|1656449784834|4867546772257375467|4786481978964706067|1753456.78
1669800720362|1668686757898|4907234743973576967|4901605244439363781|2686404.82
1669800844793|1669797081445|4903294094299628396|4910893918670815766|70545499.55
1669803072548|1664196267280|262334678294331771|280912026757234921|600735.95
1669804800754|1667655343933|4903857044253049266|4886968545650409771|2755093.74
1669805591267|1669025953639|296674625453031578|267119752898412632|2562445.01
1669806805608|1667536862267|4866139397373822141|4903575569276338929|4228172.57
1669811276232|1640379880602|90353467524121172|203506408161804662|34734498.05
1669815228703|1654693835692|4859383997932765280|4861635797746450519|8644162.36
1669825371078|1631242019249|4709076360369276410|4785356079057863587|1258789.06
1669825634168|1644702857155|4829266175424726136|4799429827893396166|7193086.18
1669829145803|1669085187479|296956100429742506|294422825639346450|208990.82
1669831667447|1668542395610|4906671794020157159|4900479344532522030|3644370.82
1669836095238|1669229057313|4908923593833841849|4798022453009842922|451757.9
1669841201369|1667868105831|293015450755793672|123286039799267808|121806.0
