createTime|dependencyTime|fromId|toId|amount
1669690975379|1668763492857|4897946069742125633|295830200522900094|8816905.95
1669691731124|1664750359964|282882351594209808|4881057571139486101|9336633.1
1669691842789|1668297698348|4806748177287872701|4906108844066734524|4531728.46
1669691870836|1668882916774|4761149231060746903|4907797693926998510|7031927.13
1669692950355|1664548368770|4872050371884745999|282037926664077571|1353583.6
1669694559449|1667998154724|4794926228266025204|293296925732504363|1961964.93
1669695031621|1669412519226|297800525359874497|4782822804267468130|4903286.47
1669696095022|1668450798593|4906390319043445448|253890428993012023|6319463.51
1669696234687|1668763492857|4817162751426167949|295830200522900094|7312545.27
1669696970384|1669169317818|4908923593833842321|4752423506782717267|4644274.8
1669697434939|1663006738270|4783104279244179042|4888657395510675050|7671943.85
1669697810367|1668297613842|4906108844066735428|139893063425196086|3952943.92
1669698513759|1669587197167|4910049493740683688|4750734656922453317|6217815.54
1669700244221|1663931729391|4882464946023039325|4891753620254491150|8013482.99
1669702887882|1666699631331|257268128713540404|4900760819509232430|8467924.05
1669703563280|1665164508502|4840525174493152518|4895694269928440067|3302017.92
1669703601602|1668389132112|247697979505378058|4906390319043446320|6968602.63
1669704795445|1664750359964|282882351594209808|282037926664077571|9660493.66
1669704928463|1663832515095|193654783976932039|4891472145277781644|9465630.69
1669705878939|1659974028376|4861635797746451177|4878805771325800998|1279097.68
1669706023977|1658078013287|4846154674027365736|4872613321838166905|2006832.9
1669707074847|1668887854038|4907797693926999296|4904701469183181172|8078864.49
1669707498881|1664548368770|4753267931712848113|282037926664077571|4899312.62
1669707979195|1664178703675|4749045807062189257|4892598045184624074|1379216.45
1669708119296|1668297698348|4867828247234085146|4906108844066734524|5073880.64
1669708297854|1657878024492|4872050371884745358|181269885001663159|5928307.73
1669709163045|1669249568829|4909205068810551867|273312202386046976|9619279.52
1669709633467|1663006738270|173670060630474770|4888657395510675050|6620259.61
1669710678362|1662505019390|259238453550514240|275564002199733009|1960664.5
1669711077118|1668456263956|4868672672164217485|294704300616057420|5398286.7
1669711862994|1668193697986|4739194182877315106|4905545894113314009|4341419.36
1669712086071|1656469398114|4825044050774066592|4867546772257375499|3764227.32
1669712203213|1621526058018|142144863238881787|4730749933575996214|2711912.72
1669714881766|1660657200186|4832080925191831812|4881057571139486481|4385319.92
1669717501581|1663931729391|181551359978373235|4891753620254491150|825668.02
1669717526316|1668190976466|293859875685925067|284289726477762825|1417092.54
1669719602356|1666488113404|4900197869555811874|4768467580455224066|2210847.02
1669719604505|1660991647989|4882183471046328655|4793800328359182982|4568741.59
1669719681746|1663434135678|4785637554034574253|4890064770394228018|910619.76
1669721013266|1655079153555|4863043172630003964|4793518853382472927|6707089.15
1669721354180|1668192943214|4905545894113314197|233905705646555725|4592777.18
1669722387687|1668193697986|4900197869555811874|4905545894113314009|5259857.97
1669722437915|1656262757454|4866702347327243133|4859102522956056255|9354423.7
1669723167503|1648602408575|4690217536929662533|4841932549376704541|7162759.05
1669723329281|1656733032098|256705178760118278|4864169072536848009|1847070.9
1669723618606|1667998154724|217298682020626503|293296925732504363|9178706.13
1669723627485|1659092707286|264305003131306074|4852065648538288655|7884283.14
1669724335927|1668421531625|4824762575797355114|4906390319043445214|9392899.76
1669725037581|1658546111875|4873457746768298137|4874302171698430407|2852520.91
1669725214981|1663523691117|4890346245370938337|16607023625929101|5297746.83
1669726337464|1668421531625|69242844270821492|4906390319043445214|2373452.03
1669726432462|1662574957087|4877398396442248836|4887250020627121729|7722841.52
1669726749133|1650320872886|183803159792058415|235876030483530404|6574820.43
1669727016102|1666383481601|4899634919602390132|4895694269928440067|4776044.12
1669728427242|1661284624609|4794926228266025204|4883027895976461576|6188522.45
1669728584368|1666840720295|4769030530408645725|289637751035265550|5412032.45
1669729615006|1666662620422|4900760819509231908|288511851128422878|3657396.5
1669729872821|1660742360661|4764808405757986306|4881339046116196860|7616012.48
1669730002342|1669085187479|296956100429742506|4904419994206471190|5135823.69
1669730023049|1667927875098|293015450755793598|4782259854314047006|9749764.04
1669730242474|1667791494164|4865013497466979881|4904419994206471190|8356565.32
1669730685153|1667292474356|4880776096162776762|4902731144346206797|9768596.21
1669730893111|1634199591154|4794926228266025204|16607023625929101|2187150.83
1669732670619|1654982824416|4862761697653293235|4816599801472746629|7843792.95
1669734333111|1653962637972|247697979505378058|4832362400168543532|9043430.69
1669734414805|1663115013296|277534327036707348|4800555727800238725|456457.24
1669734457349|1662463420911|4886968545650410916|4873176271791588239|7642897.18
1669735064009|1669721632299|4910612443694105101|224617031415104267|8496327.16
1669735421728|1666662620422|4900760819509231908|282037926664077537|2508932.57
1669735443641|1669249568829|4909205068810551867|264586478108017364|9844821.18
1669736558262|1669629131185|298644950290006724|4902168194392784951|3176500.41
1669737641461|1659176039529|4749045807062189257|264586478108016651|8329837.12
1669738252993|1669658495472|298644950290006672|295830200522900094|6864259.66
1669738944743|1666077958421|287104476244869151|235313080530108603|3719405.13
1669739062909|1663135083594|4889220345464095272|4873176271791588239|9485725.97
1669739364036|1649751837998|4688528687069398403|233905705646555644|7805958.57
1669740338462|1651739027292|4852065648538289475|4852065648538288655|7915931.62
1669740580102|1668140895255|4905545894113314297|4782259854314047006|4479267.61
1669740668798|1659165812948|4876272496535404672|231653905832870639|4072279.88
1669740718202|1660742360661|4819414551239852656|4881339046116196860|4488583.71
1669742292395|1669412519226|297800525359874497|287667426198290867|6486401.19
1669743021691|1664359140996|4816318326496036024|4893160995138044683|4974735.32
1669743328905|1654936354394|4862480222676583866|4853473023421843038|4589166.19
1669743940262|1666940300016|4876835446488826021|289919226011976052|6719542.32
1669744193996|1664591086710|4894005420068176162|235313080530108603|8566951.91
1669744978438|1660683312241|4727372233855467680|4881057571139486101|756020.75
1669744979817|1667884153496|4858821047979345516|293015450755793570|6756692.82
1669745264474|1665109006809|4895694269928441165|4817725701379588150|8569414.72
