createTime|dependencyTime|companyId|loanId|loanAmount|balance|loanUsage|interestRate|org
1669753561353|1634578690884|8796093022480|298926425266717032|57477934.0|57477934.0|vacations|0.074|Bank of America
1669876168686|1657683820397|13194139533450|299489375220138163|17483922.0|17483922.0|education|0.024|SoFi
1669976750249|1667989850211|14293651161300|299770850196848921|79782407.0|79782407.0|funerals|0.042|Chase Bank
1669988703061|1667911767495|14293651161294|299770850196848913|72764709.0|72764709.0|vacations|0.049|Peerform
1670125708862|1619881830555|6597069766819|300333800150270167|97323153.0|97323153.0|medical expenses|0.056|Capital One
1670190861842|1658739648553|13194139533510|300333800150270214|10486855.0|10486855.0|funerals|0.08|Fundbox
1670236980341|1600338125844|3298534883369|300615275126980670|24963308.0|24963308.0|vacations|0.064|PNC Bank
1670333552863|1620138149679|6597069766933|300896750103691633|89569103.0|89569103.0|other|0.09|Roofstock
1670407457424|1666224174711|14293651161249|301178225080402131|90658684.0|90658684.0|education|0.056|Bank of America
1670419781365|1667219597828|14293651161276|301178225080402173|5360608.0|5360608.0|education|0.013|Upgrade
1670450717290|1658493276102|13194139533386|301178225080402016|69445371.0|69445371.0|investing|0.065|OneMain Financial
1670466522416|1655339216441|12094627905617|301459700057112676|4580121.0|4580121.0|debt consolidation|0.013|Peerform
1670532981108|1654733499909|12094627905553|301459700057112596|54694894.0|54694894.0|weddings|0.096|Earnest
1670533723619|1667989850211|14293651161300|301459700057112856|78282051.0|78282051.0|education|0.007|SoFi
1670581692851|1581808146562|180|301741175033823471|686863.0|686863.0|renovations|0.018|Earnest
1670590385174|1665471809746|14293651161289|301741175033823496|42590196.0|42590196.0|funerals|0.064|TD Bank
1670669277082|1667498755565|14293651161467|302022650010534393|51378887.0|51378887.0|vacations|0.014|BlueVine
1670677712225|1665043171872|14293651161377|302022650010534272|35826430.0|35826430.0|renovations|0.092|Wells Fargo
1670711388919|1668182603629|14293651161171|302022650010533992|36633231.0|36633231.0|business ventures|0.062|Avant
1670779381362|1631258698654|8796093022240|302304124987244589|6338837.0|6338837.0|renovations|0.096|LendingClub
1670795499302|1669020072965|14293651161232|302304124987244729|7533130.0|7533130.0|weddings|0.044|BlueVine
1670918137113|1658493276102|13194139533386|302867074940665950|62086298.0|62086298.0|vacations|0.027|State Farm Bank
1670923589795|1667184741624|14293651161180|302867074940665965|9157100.0|9157100.0|medical expenses|0.051|Navy Federal Credit Union
1670931666616|1634578690884|8796093022480|302867074940666217|77747768.0|77747768.0|business ventures|0.079|Patch of Land
1670985175109|1666931331177|14293651161100|303148549917376524|50563675.0|50563675.0|renovations|0.04|BlueVine
1671020649055|1613384949359|5497558139219|303148549917376960|56483609.0|56483609.0|business ventures|0.076|Citibank
1671046013201|1578057732950|237|303148549917376836|25291639.0|25291639.0|vacations|0.035|Marcus by Goldman Sachs
1671056983122|1608591465121|4398046511285|303148549917376752|51859852.0|51859852.0|debt consolidation|0.031|Chase Bank
1671130630345|1668930308669|14293651161323|303430024894087488|58742672.0|58742672.0|education|0.079|Citibank
1671139251008|1640755050855|9895604650271|303430024894087549|50157064.0|50157064.0|other|0.039|Wells Fargo
1671163451218|1670433237170|15393162789205|303711499870798274|51692925.0|51692925.0|funerals|0.084|Prosper
1671176531376|1613384949359|5497558139219|303711499870798270|89563365.0|89563365.0|funerals|0.067|Prosper
1671176688948|1665645482046|14293651161421|303711499870798262|93250083.0|93250083.0|major purchases|0.002|State Farm Bank
1671257869817|1671200620394|15393162789019|303992974847508683|94614492.0|94614492.0|other|0.047|Best Egg
