createTime|dependencyTime|fromId|toId|relation
1669869827417|1658215572190|13194139533597|5497558139109|business associate
1669966945269|1668980252514|14293651161204|8796093022228|business associate
1670001842344|1666224174711|10995116277768|14293651161249|business associate
1670030467316|1668930308669|14293651161323|3298534883645|business associate
1670057099226|1648157458787|10995116277817|3298534883405|business associate
1670202512952|1648511859789|4398046511451|10995116278035|business associate
1670225248972|1663324764831|14293651161127|7696581394694|business associate
1670364376008|1668930308669|14293651161323|1099511627835|business associate
1670396515790|1665890706242|14293651161358|10995116278005|business associate
1670565646180|1665934048764|3298534883658|14293651161450|business associate
1670588018872|1665181501889|14293651161423|7696581394694|business associate
1670636902477|1647909292907|10995116277885|5497558139123|business associate
1670648082121|1669735290506|15393162788918|8796093022320|business associate
1670764886796|1670433237170|15393162789205|7696581394454|business associate
1670792587548|1670433237170|2199023255833|15393162789205|business associate
1670968675415|1670098751957|15393162789108|9895604650255|business associate
1671092634247|1656790633585|13194139533625|353|business associate
1671106846580|1669735290506|15393162788918|13194139533448|business associate
1671144535458|1661861673314|13194139533439|3298534883429|business associate
1671211821910|1667498755565|14293651161467|13194139533625|business associate
1671239246117|1668182603629|14293651161171|1099511627834|business associate
1671278753555|1671200620394|14293651161356|15393162789019|business associate
1671344441072|1670481981883|15393162788912|12094627905696|business associate
1671393444098|1668980252514|14293651161204|2199023255687|business associate
1671429247563|1670425832410|2199023255862|15393162789077|business associate
1671439692071|1600338125844|23|3298534883369|business associate
1671457538225|1667911767495|10995116278035|14293651161294|business associate
1671474350361|1630737735788|8796093022227|3298534883372|business associate
1671548972855|1648511859789|4398046511125|10995116278035|business associate
1671594914287|1670995439229|15393162789171|13194139533384|business associate
1671714182288|1658192460414|3298534883452|13194139533617|business associate
1671741762030|1648719758743|5497558139109|10995116278005|business associate
1671845929158|1667911767495|14293651161294|13194139533446|business associate
1671879116144|1670433237170|5497558139133|15393162789205|business associate
1671899519249|1670481981883|15393162788912|14293651161323|business associate
1671972740863|1670425832410|15393162789077|14293651161450|business associate
1671998429761|1669735290506|4398046511436|15393162788918|business associate
1672147523732|1671974703093|10995116277790|15393162789167|business associate
1672155450947|1669735290506|4398046511113|15393162788918|business associate
1672182432264|1665890706242|2199023255912|14293651161358|business associate
1672221297140|1656019927497|5497558139261|12094627905784|business associate
1672269497640|1655331370908|12094627905713|2199023255649|business associate
1672276509292|1637402037712|5497558139031|9895604650341|business associate
1672287072445|1655856529687|2199023255944|12094627905679|business associate
1672294640019|1610874425975|1099511627838|5497558138926|business associate
1672502396738|1671200620394|9895604650034|15393162789019|business associate
