createTime|dependencyTime|accountId|loanId|amount
1669692989675|1669369553945|4909486543787263143|4908923593833841373|16176744.62
1669696830131|1662587512605|4885561170766856377|4887531495603830936|1568679.87
1669697671957|1668216972755|285978576338026822|294141350662635707|11612883.34
1669698184981|1660742360661|4881339046116196860|4827295850587750747|8064792.99
1669699649454|1668556044700|295267250569478210|265712378014859310|19194782.23
1669701372619|1639596586759|200973133371408809|177329235327713549|2362687.74
1669705532984|1658815059315|4875146596628562794|4805903752357741076|6797126.89
1669707170382|1669195308618|4762556605944300026|4908923593833840981|548673.86
1669715162698|1669189593359|238409305273925992|297237575406452953|45746709.03
1669716211440|1658976982505|4875709546581984147|4857976623049212469|49717529.83
1669717777214|1664323808839|4834051250028806545|4893160995138044185|28136648.04
1669720842900|1669536347817|271341877549072920|298363475313295702|9908524.04
1669721052095|1668940594510|4908079168903710414|4746794007248503835|12445419.07
1669721412758|1669033221378|4901886719416074961|4908360643880419768|66081140.75
1669721433059|1667224266416|4718365034600727466|4902449669369496138|27024090.55
1669727860181|1667542316198|291889550848950308|267964177828544535|1760942.4
1669728128910|1669531095423|251075679225905392|298363475313295493|15316350.79
1669762435111|1655672236296|4847562048910918475|4865013497466978816|156015.43
1669762854594|1663104996466|271341877549073047|277252852059996570|851129.82
1669772133197|1668699316867|4899916394579100190|4907234743973577074|34153726.35
1669772713047|1644130780855|4648840715353195760|4827295850587751191|10621510.18
1669774463826|1669642476703|4910330968717393921|4893160995138043905|1901143.44
1669774495014|1669279764022|257268128713539777|297519050383163498|3015595.8
1669775115359|1659668683717|4713298485019935787|4877961346395669136|52455514.32
1669775723799|1660916498210|99079191802151398|270215977642230069|16560113.26
1669776194751|1667279159858|4901605244439364629|4902731144346206846|22567298.37
1669777731079|1669714600825|298926425266716847|276689902106574947|921192.71
1669779022957|1663250323405|246572079598535344|277815802013417900|62145792.78
1669781651233|1669731554401|298926425266716687|255860753829986314|11342717.7
1669787220392|1634530886429|131448814123876944|184366109745480050|870566.81
1669787543227|1668791535180|4891190670301069925|4907516218950287765|14261795.03
1669789122268|1639805891086|201536083324830252|142989288169013602|162171.81
1669789142730|1639144619485|4810970301938533946|4793237378405761984|2371619.9
1669796711653|1667804223335|292733975779082590|289637751035265236|49277046.24
1669798406348|1667335344112|291045125918818694|171981210770211061|6623643.63
1669799107224|1643297790327|212795082393256215|186336434582454432|11513497.03
1669802801569|1666840720295|289637751035265550|157625986957967698|11097461.47
1669803524066|1668170677725|271060402572362426|293859875685925293|10013996.15
