createTime|dependencyTime|mediumId|mediumType|isBlocked|lastLoginTime|riskLevel
1669693085822|0|61572651155949|MAC|false|1671725959917|Critical risk
1669703926500|0|61572651155948|WIFI|false|1671507440128|Very high risk
1669790830215|0|61572651155680|ATM|false|1671706438483|Critical risk
1670031632839|0|61572651156221|ATM|true|1671497119084|Minimal risk
1670052576268|0|61572651155745|PHONE|false|1670890940475|High risk
1670156976375|0|61572651156254|NFC|false|1672047924054|High risk
1670213986291|0|61572651155570|NFC|false|1670994473379|Critical risk
1670334045288|0|61572651155856|NFC|false|1672363174907|Minimal risk
1670447511810|0|61572651156432|ATM|false|1671630481250|Extreme risk
1670537383181|0|61572651156231|WIFI|false|1670797476606|High risk
1670582884388|0|61572651155785|ATM|false|1672522483099|Extreme risk
1670753318416|0|61572651156314|IPv6|false|1671505846389|Moderate risk
1670759253298|0|61572651155702|WIFI|false|1672291171191|Very high risk
1670931524836|0|61572651155473|NFC|false|1672275311714|Extreme risk
1671068330562|0|61572651155777|PHONE|false|1672095694232|Extreme risk
1671068585551|0|61572651155910|ATM|false|1672475632625|Very high risk
1671104729027|0|61572651155985|MAC|false|1671884546707|Very high risk
1671547670771|0|61572651156124|IPv6|false|1671861861700|Moderate risk
1671786980817|0|61572651156051|PHONE|false|1671886801165|Significant risk
1671996291812|0|61572651155918|RFID|false|1672125951343|Severe risk
1672073026234|0|61572651156271|POS|false|1672335136495|High risk
1672308727040|0|61572651156312|IPv6|false|1672522099349|Severe risk
