createTime|dependencyTime|personId|loanId|loanAmount|balance|loanUsage|interestRate|org
1669693462305|1654072511945|24189255811183|4910612443694104745|17526638.0|17526638.0|medical expenses|0.094|Roofstock
1669702680824|1658182305993|26388279066866|4910612443694104921|64636394.0|64636394.0|medical expenses|0.066|Patch of Land
1669702856574|1659886353528|26388279066773|4910612443694104796|52442831.0|52442831.0|funerals|0.047|Fundrise
1669741710386|1613768975044|10995116278549|4910612443694105635|96005078.0|96005078.0|medical expenses|0.069|LightStream
1669797081445|1666388312380|28587302322578|4910893918670815766|96189680.0|96189680.0|renovations|0.041|Best Egg
1669850789676|1666700378102|28587302322936|4911175393647526910|63624272.0|63624272.0|debt consolidation|0.001|LightStream
1669870023809|1668728884527|28587302322521|4911175393647526347|72405055.0|72405055.0|vacations|0.058|American Express
1669893113926|1644769039142|21990232556061|4911175393647526615|71781238.0|71781238.0|other|0.098|American Express
1669926498709|1651854445175|24189255811464|4911175393647526410|53690874.0|53690874.0|investing|0.047|Avant
1669927869239|1668759493433|28587302322328|4911175393647526113|81652873.0|81652873.0|business ventures|0.041|Patch of Land
1669996701771|1645695081012|21990232556287|4911456868624237574|78426205.0|78426205.0|investing|0.081|Earnest
1670029760161|1648621090436|21990232556159|4911738343600948061|81583443.0|81583443.0|business ventures|0.06|Capital One
1670092349553|1628403847978|15393162789579|4911738343600948158|34418398.0|34418398.0|education|0.082|Peerform
1670136942993|1611786314637|10995116277850|4912019818577657999|2341061.0|2341061.0|education|0.079|Bank of America
1670201476407|1636463048234|17592186044488|4912301293554368625|15631643.0|15631643.0|investing|0.046|TD Bank
1670223803334|1666700378102|28587302322936|4912301293554369533|65812129.0|65812129.0|funerals|0.036|Upgrade
1670262807041|1643244286876|21990232555887|4912301293554368998|69698254.0|69698254.0|major purchases|0.075|SunTrust
1670279164304|1594469891364|4398046511407|4912301293554368933|72087439.0|72087439.0|education|0.026|Rocket Loans
1670286606845|1653526959685|24189255811283|4912582768531079468|44734120.0|44734120.0|investing|0.088|OnDeck
1670310746183|1663390066434|28587302322855|4912582768531080077|30941828.0|30941828.0|investing|0.02|Upstart
1670320302684|1668432841172|28587302322691|4912582768531079864|76012882.0|76012882.0|funerals|0.056|Wells Fargo
1670364421058|1657391727828|26388279066799|4912582768531079424|3188166.0|3188166.0|renovations|0.081|Upgrade
1670367891852|1616320483549|10995116278421|4912582768531080061|45423558.0|45423558.0|major purchases|0.057|BlueVine
1670372569969|1582699630448|372|4912864243507790318|92439756.0|92439756.0|medical expenses|0.042|Avant
1670378792196|1580776300881|263|4912864243507790206|47462777.0|47462777.0|renovations|0.012|Wells Fargo
1670403283441|1666700378102|28587302322936|4912864243507790844|15217302.0|15217302.0|renovations|0.019|US Bank
1670415029649|1636884479388|19791209300432|4912864243507790451|65416384.0|65416384.0|vacations|0.049|US Bank
1670436389227|1648386792294|21990232555831|4912864243507790250|97993501.0|97993501.0|debt consolidation|0.074|BlueVine
1670462476228|1628723524418|15393162789420|4913145718484501235|56663668.0|56663668.0|medical expenses|0.097|Kabbage
1670490290068|1669794979056|30786325577996|4913145718484500866|55436273.0|55436273.0|medical expenses|0.031|Citibank
1670510632523|1652911513558|24189255811106|4913145718484500538|82022774.0|82022774.0|education|0.01|BlueVine
1670520013159|1657048972422|26388279066709|4913145718484500612|67633658.0|67633658.0|vacations|0.079|US Bank
1670553398020|1609346997603|8796093022629|4913427193461211700|49230745.0|49230745.0|renovations|0.018|Marcus by Goldman Sachs
1670558075867|1641097074081|19791209300478|4913427193461211825|10226075.0|10226075.0|renovations|0.097|Earnest
1670570620356|1595662926267|4398046511816|4913427193461212088|46571031.0|46571031.0|debt consolidation|0.097|State Farm Bank
1670596401499|1670509475935|30786325578303|4913427193461211919|57443354.0|57443354.0|other|0.067|Earnest
1670598888244|1667071881193|28587302322878|4913427193461212072|68198730.0|68198730.0|debt consolidation|0.069|Discover
