createTime|dependencyTime|fromId|toId|relation|startTime|endTime|truncation_limit|truncation_order|amount_threshold
1669707307450|1659270178787|15393162789600|26388279066730|siblings|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1669776140830|1668690050122|17592186044464|28587302322731|friends|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1669792057853|1645589323888|13194139533553|21990232556126|friends|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1669824321244|1663390066434|17592186044959|28587302322855|friends|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1669945553503|1668570275599|28587302322245|13194139533817|siblings|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1669965463106|1669778874263|26388279067075|30786325578345|business associate|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1670044835900|1653279321396|15393162789261|24189255811767|business associate|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1670185799713|1667141639741|24189255811767|28587302322898|other relatives|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1670783116507|1650204445598|8796093022430|24189255811665|friends|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1670792517180|1670232656183|13194139533649|30786325578280|siblings|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1670805145958|1651543302424|17592186045044|24189255811395|business associate|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1670872696914|1661661519397|26388279066627|2199023255900|parents|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1671885758888|1658169259939|8796093022710|26388279067041|siblings|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1672001848856|1671039330654|19791209300300|30786325578328|parents|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1672062003612|1662294859118|8796093022496|26388279066958|siblings|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1672073166832|1654093336501|24189255811824|17592186044615|siblings|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1672202706140|1667670100475|24189255811812|28587302322457|friends|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1672308850057|1666977342127|2199023255808|28587302322515|siblings|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
1672317584527|1618075020746|13194139533398|10995116278498|friends|1669707307450|1672317584527|500|TIMESTAMP_DESCENDING|10000
