createTime|dependencyTime|fromId|toId|relation
1669718706724|1668728884527|2199023256343|28587302322521|business associate
1669730948690|1655253720951|24189255811396|10995116277974|siblings
1669818694748|1667141639741|28587302322898|13194139534019|parents
1669841763118|1667141639741|28587302322848|28587302322898|parents
1669925259435|1668570275599|2199023255662|28587302322245|siblings
1669961140660|1668401026279|28587302322689|10995116277884|business associate
1670088898060|1605831599935|2199023256343|8796093022737|friends
1670103791763|1665678155935|28587302322416|433|siblings
1670128946923|1662655429774|13194139533468|26388279066955|parents
1670184513500|1658429191033|26388279067144|51|parents
1670277798842|1669531079036|4398046511663|30786325578421|siblings
1670294950338|1661769531540|10995116278450|26388279067423|friends
1670331910193|1633102184170|17592186044622|2199023255662|siblings
1670344840203|1669243138426|15393162789435|28587302322710|business associate
1670352734334|1668995288951|28587302322489|15393162789154|friends
1670357330374|1668172699694|28587302322411|675|business associate
1670374259717|1669941679495|2199023255700|30786325578447|other relatives
1670384755358|1665129744260|24189255811396|28587302322619|business associate
1670393063830|1668961950682|21990232555841|28587302322408|siblings
1670425000671|1603473237130|4398046511407|6597069766710|parents
1670531418386|1654798735184|8796093022820|24189255811170|business associate
1670607829024|1619445276244|10995116278271|13194139533907|other relatives
1670639439487|1665934974377|28587302322571|8796093022782|siblings
1670640863581|1659990131936|26388279066759|17592186044438|parents
1670701350344|1658295084269|26388279067065|13194139533350|siblings
1670777488141|1663390066434|28587302322855|10995116278277|friends
1670825147932|1668690050122|28587302322731|15393162789505|parents
1670842919348|1662462614985|4398046511722|26388279066950|business associate
1670847516340|1661807634455|6597069766803|26388279067160|business associate
1670880890283|1668401026279|28587302322689|4398046511890|parents
1670921402114|1660828081185|26388279066733|19791209300685|siblings
1670925214389|1656060893762|21990232555817|24189255811232|business associate
1670993867108|1653400601992|24189255811414|8796093022401|friends
1671238991741|1670309119917|28587302322854|30786325578005|business associate
1671251184790|1656698770297|19791209300070|26388279066886|friends
1671265101479|1671039330654|30786325578328|15393162789157|siblings
1671266701510|1606021856175|8796093022495|580|friends
1671284708074|1669061021821|28587302322435|13194139533389|friends
1671332168091|1659990131936|21990232556250|26388279066759|parents
1671367797187|1668964402722|17592186044694|28587302322648|friends
1671427921401|1667685764163|28587302322445|19791209300552|business associate
1671445633102|1654798735184|13194139533556|24189255811170|siblings
1671464710456|1664443821229|28587302322247|17592186045024|friends
1671479201536|1646281410966|13194139533481|21990232556018|friends
1671490239969|1668995288951|28587302322489|8796093022401|business associate
1671517755908|1605030435936|6597069766773|8796093022309|other relatives
1671519384909|1670509475935|15393162789590|30786325578303|friends
1671520296973|1648182686039|19791209300522|21990232555841|friends
1671527281798|1668690050122|17592186044812|28587302322731|business associate
1671582667102|1665639726086|28587302322459|10995116277851|business associate
1671588121913|1671511249815|28587302322203|30786325578380|friends
1671635042629|1662128348837|6597069766852|26388279067416|other relatives
1671712243296|1667688103382|28587302322196|26388279067065|friends
1671728741246|1670309119917|4398046511116|30786325578005|parents
1671762567041|1668728884527|28587302322521|28587302322878|siblings
1671776868018|1671511249815|30786325578380|26388279067010|parents
1671794716544|1670309119917|4398046511816|30786325578005|friends
1671820299613|1671511249815|13194139533845|30786325578380|business associate
1671821390164|1667032803563|13194139533372|28587302322592|siblings
1671875835647|1665934974377|28587302322571|26388279066810|siblings
1671944253991|1649999044702|24189255811723|2199023255767|siblings
1671970509853|1619145993472|6597069767000|13194139533432|friends
1672015006082|1666388312380|13194139533348|28587302322578|business associate
1672134018774|1661828171210|26388279067335|24189255811533|other relatives
1672141057804|1668599084291|28587302322800|4398046511724|parents
1672197425032|1668172699694|28587302322411|10995116277915|parents
1672214263330|1653400601992|24189255811414|17592186044664|siblings
1672249082200|1671685513632|26388279066852|30786325577806|siblings
1672314790480|1608432114908|8796093022225|4398046511588|friends
1672349040712|1672295188888|4398046511878|30786325578185|parents
1672356443289|1613295790496|10995116278450|499|other relatives
1672478861328|1655456764837|24189255811588|535|parents
1672479069340|1664443821229|24189255811260|28587302322247|siblings
