loanId|loanAmount|balance|createTime|loanUsage|interestRate
1970324836979625|70354775.0|70354775.0|2020-01-08 11:36:58.802|debt consolidation|0.074
4616471093031471711|5631676.0|5631676.0|2020-01-18 14:11:18.384|debt consolidation|0.03
4618441417868448834|76479968.0|76479968.0|2020-01-25 22:45:56.453|business ventures|0.086
4619848792752006773|43369338.0|43369338.0|2020-01-30 18:32:24.536|vacations|0.049
4621537642612267934|26654534.0|26654534.0|2020-02-05 13:18:32.559|weddings|0.011
4622945017495815822|85432310.0|85432310.0|2020-02-10 16:31:57.271|weddings|0.02
4622945017495817323|61449901.0|61449901.0|2020-02-10 23:27:17.486|weddings|0.079
12103423998561450|29608815.0|29608815.0|2020-02-13 15:20:09.634|debt consolidation|0.017
4624070917402661224|9420710.0|9420710.0|2020-02-14 04:30:21.107|debt consolidation|0.094
4626041242239638968|65570156.0|65570156.0|2020-02-21 21:32:49.473|renovations|0.099
14918173765666141|52529411.0|52529411.0|2020-02-23 13:34:09.759|education|0.03
14918173765665479|33525502.0|33525502.0|2020-02-23 21:27:20.559|investing|0.098
15199648742379118|3266671.0|3266671.0|2020-02-24 16:17:08.86|investing|0.086
16325548649220038|11467231.0|11467231.0|2020-02-28 17:41:44.622|funerals|0.051
16607023625930228|75766219.0|75766219.0|2020-02-29 17:31:42.944|education|0.02
18295873486194380|27662347.0|27662347.0|2020-03-07 01:03:04.25|medical expenses|0.074
4630263366890300415|32394892.0|32394892.0|2020-03-07 09:11:28.602|funerals|0.049
18858823439618869|69584740.0|69584740.0|2020-03-09 00:28:52.637|other|0.074
4630826316843714633|72290653.0|72290653.0|2020-03-09 21:17:06.073|renovations|0.088
4630826316843715521|19334984.0|19334984.0|2020-03-09 21:44:36.019|debt consolidation|0.042
19421773393040300|70955119.0|70955119.0|2020-03-10 03:54:48.918|weddings|0.0
19703248369749546|76202129.0|76202129.0|2020-03-11 11:56:30.52|vacations|0.009
4631389266797138237|65407662.0|65407662.0|2020-03-11 19:22:39.93|renovations|0.011
4631389266797136117|40132178.0|40132178.0|2020-03-11 22:37:02.702|medical expenses|0.01
4631952216750559286|20783123.0|20783123.0|2020-03-13 09:59:05.065|investing|0.028
4633078116657399306|90227585.0|90227585.0|2020-03-17 02:37:46.43|education|0.033
4633078116657404409|96346872.0|96346872.0|2020-03-17 14:11:50.561|renovations|0.005
4633078116657401423|16171464.0|16171464.0|2020-03-18 00:46:43.65|funerals|0.088
4633359591634109273|60668354.0|60668354.0|2020-03-18 16:42:57.719|vacations|0.064
21673573206724901|88310209.0|88310209.0|2020-03-18 23:48:25.166|funerals|0.038
4633641066610829196|95098900.0|95098900.0|2020-03-19 03:55:50.838|funerals|0.031
4633641066610829109|16304787.0|16304787.0|2020-03-19 04:49:41.936|business ventures|0.077
4633641066610826469|49512729.0|49512729.0|2020-03-19 18:34:11.063|education|0.023
4633922541587533289|76075241.0|76075241.0|2020-03-20 23:59:44.495|business ventures|0.049
4634485491540953465|29633249.0|29633249.0|2020-03-22 05:59:59.763|investing|0.009
23080948090273828|2890389.0|2890389.0|2020-03-23 19:03:05.567|debt consolidation|0.097
4634766966517666840|36419452.0|36419452.0|2020-03-23 23:55:54.545|major purchases|0.093
4635048441494378355|1798712.0|1798712.0|2020-03-24 15:07:20.52|funerals|0.084
23925373020410459|18352095.0|18352095.0|2020-03-26 07:05:37.256|weddings|0.047
24488322973831546|89956481.0|89956481.0|2020-03-28 05:57:44.249|debt consolidation|0.055
4636174341401219181|34999103.0|34999103.0|2020-03-28 06:41:30.016|major purchases|0.062
24769797950538634|95263305.0|95263305.0|2020-03-29 04:12:49.458|funerals|0.091
4636455816377929003|82975186.0|82975186.0|2020-03-29 23:40:16.134|medical expenses|0.089
4637300241308060295|88478080.0|88478080.0|2020-04-01 15:51:17.397|renovations|0.079
4637300241308058919|45376364.0|45376364.0|2020-04-01 18:27:48.326|other|0.034
4637863191261487997|77281679.0|77281679.0|2020-04-03 16:31:59.776|major purchases|0.097
4638144666238194318|8665081.0|8665081.0|2020-04-04 23:30:01.168|education|0.023
4638426141214909063|24652165.0|24652165.0|2020-04-05 10:02:18.642|investing|0.006
26740122787513742|23731813.0|23731813.0|2020-04-05 15:07:21.835|investing|0.067
4638426141214908381|14434572.0|14434572.0|2020-04-05 22:30:03.882|business ventures|0.094
4638707616191616882|37907578.0|37907578.0|2020-04-06 09:36:52.696|medical expenses|0.038
4638989091168327638|66320419.0|66320419.0|2020-04-07 21:12:53.859|medical expenses|0.044
4638989091168323203|48351740.0|48351740.0|2020-04-07 21:50:23.679|weddings|0.09
4638989091168329720|28731725.0|28731725.0|2020-04-07 22:02:34.939|vacations|0.025
27584547717648795|6822334.0|6822334.0|2020-04-08 05:56:28.076|funerals|0.026
27584547717645517|70851730.0|70851730.0|2020-04-08 12:25:45.723|vacations|0.003
4639270566145041898|39269709.0|39269709.0|2020-04-08 21:14:54.196|vacations|0.043
4639270566145038912|96257211.0|96257211.0|2020-04-08 23:36:17.393|medical expenses|0.034
28428972647778183|71498998.0|71498998.0|2020-04-11 19:15:11.755|funerals|0.015
4640114991075169427|40135242.0|40135242.0|2020-04-11 23:29:21.109|debt consolidation|0.002
28710447624490043|96243939.0|96243939.0|2020-04-12 07:04:50.146|business ventures|0.047
4640396466051875090|14087331.0|14087331.0|2020-04-12 13:48:43.486|medical expenses|0.089
28710447624492025|28465295.0|28465295.0|2020-04-12 23:51:27.416|investing|0.1
29273397577913472|27504777.0|27504777.0|2020-04-14 11:05:21.166|major purchases|0.073
4641522365958727433|44734811.0|44734811.0|2020-04-16 09:40:35.227|education|0.022
4641522365958726642|80684763.0|80684763.0|2020-04-16 16:41:32.383|business ventures|0.093
30117822508042071|85122649.0|85122649.0|2020-04-17 07:57:22.739|education|0.056
4641803840935429482|35952835.0|35952835.0|2020-04-17 13:40:08.159|business ventures|0.054
30399297484753756|49196965.0|49196965.0|2020-04-18 20:39:37.566|education|0.012
4642366790888857781|43715943.0|43715943.0|2020-04-19 12:25:19.887|vacations|0.041
4642366790888853975|979285.0|979285.0|2020-04-19 23:39:08.316|funerals|0.095
4642929740842275748|58723266.0|58723266.0|2020-04-21 19:16:39.112|vacations|0.038
4642929740842273938|6031799.0|6031799.0|2020-04-21 20:17:53.39|renovations|0.013
4643211215818986818|44265738.0|44265738.0|2020-04-22 14:26:52.493|renovations|0.06
4643211215818986642|82494238.0|82494238.0|2020-04-22 14:48:13.026|education|0.016
4643211215818981652|74211921.0|74211921.0|2020-04-22 15:58:41.804|other|0.053
4643211215818990193|44334402.0|44334402.0|2020-04-22 17:19:26.853|debt consolidation|0.072
4643492690795699130|11364601.0|11364601.0|2020-04-23 07:00:36.675|education|0.0
4644055640749119884|5298288.0|5298288.0|2020-04-25 12:23:39.585|education|0.026
32369622321729476|65410059.0|65410059.0|2020-04-25 21:16:51.22|education|0.09
4644337115725828765|117470.0|117470.0|2020-04-27 01:47:03.081|vacations|0.061
32932572275148520|66123295.0|66123295.0|2020-04-27 15:01:52.039|funerals|0.03
4645181540655956113|29265901.0|29265901.0|2020-04-29 10:25:02.334|debt consolidation|0.098
4645181540655960364|26324723.0|26324723.0|2020-04-30 01:39:19.841|business ventures|0.04
34058472181993487|21685769.0|21685769.0|2020-05-01 05:27:06.546|business ventures|0.086
4646025965586088570|63638796.0|63638796.0|2020-05-02 13:46:09.681|major purchases|0.055
34621422135415422|53627974.0|53627974.0|2020-05-03 04:02:47.754|vacations|0.089
34621422135414597|58831753.0|58831753.0|2020-05-03 06:26:54.535|funerals|0.018
4646588915539515351|45074904.0|45074904.0|2020-05-04 06:57:54.971|business ventures|0.094
4646588915539517383|94634968.0|94634968.0|2020-05-04 14:38:17.885|education|0.071
4646588915539517645|80130969.0|80130969.0|2020-05-04 15:51:48.706|investing|0.063
4646870390516223862|91185246.0|91185246.0|2020-05-05 16:11:33.965|debt consolidation|0.024
4647151865492933421|6465072.0|6465072.0|2020-05-06 09:06:27.274|investing|0.041
35465847065544946|50151529.0|50151529.0|2020-05-06 18:31:07.159|renovations|0.058
4647433340469647320|53670882.0|53670882.0|2020-05-07 09:42:21.975|funerals|0.067
4647996290423069763|25269841.0|25269841.0|2020-05-09 07:10:25.264|major purchases|0.047
4647996290423068909|92587536.0|92587536.0|2020-05-09 12:57:32.99|renovations|0.008
36310271995674626|59918644.0|59918644.0|2020-05-09 14:11:12.092|funerals|0.067
36310271995674689|10211890.0|10211890.0|2020-05-09 21:11:49.05|debt consolidation|0.018
4648277765399782889|36324457.0|36324457.0|2020-05-10 10:04:17.129|other|0.017
4648277765399781673|32417349.0|32417349.0|2020-05-10 11:24:07.104|business ventures|0.02
4648277765399774365|64517234.0|64517234.0|2020-05-10 19:47:55.847|investing|0.015
4648559240376489592|95276757.0|95276757.0|2020-05-11 13:19:32.469|vacations|0.061
4648559240376486664|82966754.0|82966754.0|2020-05-11 17:38:57.976|funerals|0.038
37154696925807986|86622459.0|86622459.0|2020-05-12 08:32:46.72|education|0.083
4648840715353197237|60134621.0|60134621.0|2020-05-12 21:41:54.781|weddings|0.08
4649403665306620203|23212197.0|23212197.0|2020-05-14 06:56:59.536|debt consolidation|0.022
4649685140283335526|55334991.0|55334991.0|2020-05-15 07:17:26.608|renovations|0.07
37999121855942571|7239523.0|7239523.0|2020-05-15 10:24:01.995|weddings|0.075
4649685140283331794|31716553.0|31716553.0|2020-05-15 11:07:16.565|education|0.027
37999121855940928|18641348.0|18641348.0|2020-05-15 21:10:02.512|renovations|0.036
4649685140283328962|95948977.0|95948977.0|2020-05-16 01:15:50.292|other|0.087
4649966615260047465|73486121.0|73486121.0|2020-05-16 07:14:32.212|major purchases|0.082
4649966615260037582|32619352.0|32619352.0|2020-05-16 10:13:16.034|renovations|0.064
38280596832652348|11391769.0|11391769.0|2020-05-16 19:01:54.58|renovations|0.043
4650248090236755166|29879000.0|29879000.0|2020-05-17 22:40:30.076|funerals|0.066
38843546786073769|97863462.0|97863462.0|2020-05-18 17:53:22.524|debt consolidation|0.015
4650529565213459970|23835186.0|23835186.0|2020-05-18 23:36:17.73|medical expenses|0.016
4650811040190176265|63519432.0|63519432.0|2020-05-19 20:31:48.466|other|0.072
4651092515166890013|60453329.0|60453329.0|2020-05-20 04:35:14.969|renovations|0.009
4651092515166884495|60074408.0|60074408.0|2020-05-20 07:35:47.491|major purchases|0.023
4651092515166888267|52513119.0|52513119.0|2020-05-20 19:12:32.942|renovations|0.057
4651373990143592574|169094.0|169094.0|2020-05-21 09:20:21.575|investing|0.034
4651373990143598912|42504354.0|42504354.0|2020-05-21 15:54:52.157|business ventures|0.004
4651373990143594615|80271421.0|80271421.0|2020-05-21 16:57:47.122|funerals|0.098
39969446692918141|34564693.0|34564693.0|2020-05-22 12:39:41.499|renovations|0.055
39969446692914457|36133597.0|36133597.0|2020-05-22 21:31:50.352|major purchases|0.041
4652218415073731726|54879489.0|54879489.0|2020-05-24 12:29:43.617|education|0.073
4652218415073725593|50485657.0|50485657.0|2020-05-24 19:57:53.406|funerals|0.023
40813871623045419|14676162.0|14676162.0|2020-05-25 10:20:29.381|medical expenses|0.032
4652499890050437780|69911694.0|69911694.0|2020-05-25 15:55:39.197|debt consolidation|0.071
4652781365027153806|76124988.0|76124988.0|2020-05-26 03:14:13.035|weddings|0.044
4652781365027151855|73125033.0|73125033.0|2020-05-26 08:32:26.861|medical expenses|0.008
41376821576469994|68234886.0|68234886.0|2020-05-27 12:34:10.98|weddings|0.024
4653062840003861271|23180449.0|23180449.0|2020-05-27 13:47:52.033|business ventures|0.041
41658296553180948|50778736.0|50778736.0|2020-05-28 07:58:33.546|renovations|0.051
41658296553178095|79386933.0|79386933.0|2020-05-28 10:59:48.616|debt consolidation|0.002
4653344314980575305|67239323.0|67239323.0|2020-05-28 11:58:42.517|other|0.02
4653344314980565892|93723661.0|93723661.0|2020-05-29 01:57:03.872|other|0.018
4653625789957276512|12459128.0|12459128.0|2020-05-29 07:43:04.492|weddings|0.046
4653907264933988235|79847016.0|79847016.0|2020-05-31 02:55:25.459|medical expenses|0.052
4654188739910704538|51025568.0|51025568.0|2020-05-31 04:12:09.159|other|0.052
4654188739910699571|76468851.0|76468851.0|2020-05-31 04:54:31.614|renovations|0.003
4654188739910702587|73596138.0|73596138.0|2020-05-31 13:49:49.934|medical expenses|0.076
4654188739910698598|9218188.0|9218188.0|2020-05-31 18:02:37.804|debt consolidation|0.034
4654188739910697745|78526732.0|78526732.0|2020-05-31 21:09:29.238|medical expenses|0.054
42784196460024433|83984878.0|83984878.0|2020-06-01 11:11:15.31|funerals|0.049
4654470214887409575|73896429.0|73896429.0|2020-06-01 22:51:52.594|education|0.023
4654751689864123572|95175392.0|95175392.0|2020-06-02 15:05:08.262|other|0.09
4654751689864119732|28113575.0|28113575.0|2020-06-02 17:14:24.97|medical expenses|0.02
43347146413442318|13787871.0|13787871.0|2020-06-03 18:51:27.667|other|0.047
