personId|loanId|createTime|org
1969|4616471093031471711|2020-01-18 14:11:18.384|TD Bank
3853|4618441417868448834|2020-01-25 22:45:56.453|RealtyMogul
7313|4619848792752006773|2020-01-30 18:32:24.536|Best Egg
5255|4621537642612267934|2020-02-05 13:18:32.559|Discover
1243|4622945017495815822|2020-02-10 16:31:57.271|American Express
2351|4622945017495817323|2020-02-10 23:27:17.486|American Express
3301|4624070917402661224|2020-02-14 04:30:21.107|Discover
5639|4626041242239638968|2020-02-21 21:32:49.473|LendingClub
6832|4630263366890300415|2020-03-07 09:11:28.602|Funding Circle
1568|4630826316843714633|2020-03-09 21:17:06.073|Peerform
2245|4630826316843715521|2020-03-09 21:44:36.019|PNC Bank
3270|4631389266797138237|2020-03-11 19:22:39.93|OnDeck
1692|4631389266797136117|2020-03-11 22:37:02.702|RealtyMogul
3076|4631952216750559286|2020-03-13 09:59:05.065|Citibank
1132|4633078116657399306|2020-03-17 02:37:46.43|Chase Bank
4958|4633078116657404409|2020-03-17 14:11:50.561|Upstart
2709|4633078116657401423|2020-03-18 00:46:43.65|Funding Circle
636|4633359591634109273|2020-03-18 16:42:57.719|Avant
7522|4633641066610829196|2020-03-19 03:55:50.838|Avant
7467|4633641066610829109|2020-03-19 04:49:41.936|Capital One
5500|4633641066610826469|2020-03-19 18:34:11.063|Chase Bank
2626|4633922541587533289|2020-03-20 23:59:44.495|Prosper
2199023257351|4634485491540953465|2020-03-22 05:59:59.763|Patch of Land
3816|4634766966517666840|2020-03-23 23:55:54.545|Upgrade
4510|4635048441494378355|2020-03-24 15:07:20.52|Chase Bank
3110|4636174341401219181|2020-03-28 06:41:30.016|US Bank
2496|4636455816377929003|2020-03-29 23:40:16.134|American Express
1998|4637300241308060295|2020-04-01 15:51:17.397|Upstart
982|4637300241308058919|2020-04-01 18:27:48.326|Citibank
6743|4637863191261487997|2020-04-03 16:31:59.776|Patch of Land
3531|4638144666238194318|2020-04-04 23:30:01.168|Upstart
6559|4638426141214909063|2020-04-05 10:02:18.642|TD Bank
6053|4638426141214908381|2020-04-05 22:30:03.882|OnDeck
4510|4638707616191616882|2020-04-06 09:36:52.696|Fundbox
4566|4638989091168327638|2020-04-07 21:12:53.859|SunTrust
1231|4638989091168323203|2020-04-07 21:50:23.679|American Express
2199023261621|4638989091168329720|2020-04-07 22:02:34.939|PNC Bank
7213|4639270566145041898|2020-04-08 21:14:54.196|Earnest
5011|4639270566145038912|2020-04-08 23:36:17.393|Marcus by Goldman Sachs
3909|4640114991075169427|2020-04-11 23:29:21.109|Patch of Land
187|4640396466051875090|2020-04-12 13:48:43.486|BlueVine
2199023262980|4641522365958727433|2020-04-16 09:40:35.227|Kabbage
2199023262375|4641522365958726642|2020-04-16 16:41:32.383|Capital One
1026|4641803840935429482|2020-04-17 13:40:08.159|State Farm Bank
2199023261772|4642366790888857781|2020-04-19 12:25:19.887|Prosper
2199023258948|4642366790888853975|2020-04-19 23:39:08.316|OnDeck
3747|4642929740842275748|2020-04-21 19:16:39.112|Fundrise
2384|4642929740842273938|2020-04-21 20:17:53.39|Fundrise
4036|4643211215818986818|2020-04-22 14:26:52.493|Discover
3908|4643211215818986642|2020-04-22 14:48:13.026|PNC Bank
2199023255742|4643211215818981652|2020-04-22 15:58:41.804|BlueVine
6548|4643211215818990193|2020-04-22 17:19:26.853|Avant
2199023260829|4643492690795699130|2020-04-23 07:00:36.675|US Bank
4888|4644055640749119884|2020-04-25 12:23:39.585|Upgrade
2199023259095|4644337115725828765|2020-04-27 01:47:03.081|Navy Federal Credit Union
93|4645181540655956113|2020-04-29 10:25:02.334|Discover
3257|4645181540655960364|2020-04-30 01:39:19.841|OneMain Financial
2199023256030|4646025965586088570|2020-05-02 13:46:09.681|Citibank
4566|4646588915539515351|2020-05-04 06:57:54.971|Discover
2199023261591|4646588915539517383|2020-05-04 14:38:17.885|LendingPoint
6234|4646588915539517645|2020-05-04 15:51:48.706|Bank of America
2199023258489|4646870390516223862|2020-05-05 16:11:33.965|Avant
2199023257689|4647151865492933421|2020-05-06 09:06:27.274|LightStream
4566|4647433340469647320|2020-05-07 09:42:21.975|Funding Circle
5393|4647996290423069763|2020-05-09 07:10:25.264|Roofstock
2199023260324|4647996290423068909|2020-05-09 12:57:32.99|OnDeck
7213|4648277765399782889|2020-05-10 10:04:17.129|American Express
2199023261850|4648277765399781673|2020-05-10 11:24:07.104|Earnest
882|4648277765399774365|2020-05-10 19:47:55.847|American Express
4314|4648559240376489592|2020-05-11 13:19:32.469|Kabbage
2101|4648559240376486664|2020-05-11 17:38:57.976|Roofstock
2035|4648840715353197237|2020-05-12 21:41:54.781|Navy Federal Credit Union
3257|4649403665306620203|2020-05-14 06:56:59.536|Best Egg
6732|4649685140283335526|2020-05-15 07:17:26.608|Chase Bank
3950|4649685140283331794|2020-05-15 11:07:16.565|Wells Fargo
2199023257405|4649685140283328962|2020-05-16 01:15:50.292|Fundbox
2199023263227|4649966615260047465|2020-05-16 07:14:32.212|LendingClub
2199023255900|4649966615260037582|2020-05-16 10:13:16.034|PNC Bank
5497|4650248090236755166|2020-05-17 22:40:30.076|State Farm Bank
2199023256678|4650529565213459970|2020-05-18 23:36:17.73|Rocket Loans
5333|4650811040190176265|2020-05-19 20:31:48.466|LendingClub
2199023263172|4651092515166890013|2020-05-20 04:35:14.969|US Bank
3531|4651092515166884495|2020-05-20 07:35:47.491|OnDeck
6333|4651092515166888267|2020-05-20 19:12:32.942|SunTrust
1602|4651373990143592574|2020-05-21 09:20:21.575|Roofstock
6316|4651373990143598912|2020-05-21 15:54:52.157|Wells Fargo
3117|4651373990143594615|2020-05-21 16:57:47.122|Kabbage
2199023262500|4652218415073731726|2020-05-24 12:29:43.617|Prosper
2389|4652218415073725593|2020-05-24 19:57:53.406|Roofstock
2199023259087|4652499890050437780|2020-05-25 15:55:39.197|Discover
7522|4652781365027153806|2020-05-26 03:14:13.035|Roofstock
2199023261615|4652781365027151855|2020-05-26 08:32:26.861|State Farm Bank
2199023260715|4653062840003861271|2020-05-27 13:47:52.033|Upgrade
2199023263211|4653344314980575305|2020-05-28 11:58:42.517|Peerform
668|4653344314980565892|2020-05-29 01:57:03.872|LendingClub
642|4653625789957276512|2020-05-29 07:43:04.492|Chase Bank
1420|4653907264933988235|2020-05-31 02:55:25.459|Fundrise
2199023261170|4654188739910704538|2020-05-31 04:12:09.159|Capital One
2199023257486|4654188739910699571|2020-05-31 04:54:31.614|Wells Fargo
2199023259753|4654188739910702587|2020-05-31 13:49:49.934|Bank of America
1207|4654188739910698598|2020-05-31 18:02:37.804|Roofstock
2199023256128|4654188739910697745|2020-05-31 21:09:29.238|Upgrade
1444|4654470214887409575|2020-06-01 22:51:52.594|US Bank
2199023259484|4654751689864123572|2020-06-02 15:05:08.262|Bank of America
2199023256628|4654751689864119732|2020-06-02 17:14:24.97|Rocket Loans
2199023262266|4655596114794259276|2020-06-05 09:05:33.222|SoFi
2199023256731|4655596114794251858|2020-06-05 17:00:14.266|Funding Circle
2199023259484|4656159064747676850|2020-06-07 14:23:16.33|State Farm Bank
2199023256011|4656159064747672175|2020-06-07 17:50:34.322|SoFi
2199023262179|4656440539724391127|2020-06-08 06:28:56.325|Patch of Land
5418|4656440539724389489|2020-06-08 13:46:16.5|Best Egg
4398046512471|4657284964654516037|2020-06-11 18:58:28.196|LightStream
310|4657566439631225257|2020-06-12 06:04:54.142|Roofstock
5783|4657847914607943282|2020-06-13 04:46:02.787|Roofstock
2199023261327|4657847914607943270|2020-06-13 22:25:32.407|Avant
6876|4657847914607944764|2020-06-13 23:23:11.043|OneMain Financial
5604|4658129389584653705|2020-06-14 16:50:20.759|BlueVine
2199023260751|4658129389584653121|2020-06-14 20:25:19.545|Peerform
2199023258346|4658410864561360587|2020-06-15 05:24:02.73|Navy Federal Credit Union
2199023257980|4658410864561360077|2020-06-15 06:30:40.435|Navy Federal Credit Union
2199023263396|4658410864561367382|2020-06-16 02:31:41.306|Peerform
4398046512607|4658692339538069493|2020-06-16 04:52:41.65|US Bank
2199023258709|4658973814514782367|2020-06-17 10:07:46.733|Upgrade
2199023256785|4658973814514779783|2020-06-18 02:51:52.171|Upgrade
3098|4659255289491492948|2020-06-18 13:28:13.911|LendingPoint
2199023257288|4659255289491491115|2020-06-18 23:26:08.181|US Bank
2199023260516|4659255289491495429|2020-06-19 01:38:57.894|Navy Federal Credit Union
3626|4659536764468204276|2020-06-19 23:26:58.043|US Bank
7094|4659818239444919614|2020-06-21 01:25:12.655|LendingClub
4009|4660099714421626146|2020-06-21 08:11:49.302|Roofstock
7943|4660099714421631460|2020-06-21 10:13:02.555|Kabbage
2199023261073|4660099714421628165|2020-06-21 19:53:44.787|SunTrust
2199023259958|4660381189398337252|2020-06-22 23:30:25.372|Roofstock
2199023257272|4660662664375044370|2020-06-23 03:54:00.151|Upgrade
2199023256210|4660662664375042929|2020-06-23 06:31:27.49|RealtyMogul
6832|4660662664375051261|2020-06-23 16:40:02.964|Roofstock
2199023259852|4660662664375047780|2020-06-23 20:23:23.886|Peerform
2199023259556|4660944139351758106|2020-06-24 10:53:50.814|Upgrade
743|4660944139351753688|2020-06-24 11:08:51.94|LendingPoint
2199023261465|4660944139351760674|2020-06-25 01:47:46.997|Roofstock
2199023262883|4661225614328473234|2020-06-25 16:56:06.481|SunTrust
2199023262847|4661225614328473171|2020-06-26 02:01:33.776|BlueVine
4624|4661507089305180206|2020-06-26 04:47:51.933|LightStream
3211|4661507089305178360|2020-06-26 06:55:47.716|Wells Fargo
4398046513825|4661507089305177701|2020-06-26 19:57:05.956|Avant
4398046518778|4661788564281895015|2020-06-27 17:17:10.566|Upgrade
2199023256133|4662070039258596121|2020-06-28 14:13:07.824|Earnest
4398046517358|4662632989212025061|2020-06-30 22:24:49.902|LightStream
4398046513857|4662914464188731035|2020-07-01 16:07:40.925|Funding Circle
5333|4662914464188734472|2020-07-01 22:42:53.649|OneMain Financial
4398046516320|4663477414142155626|2020-07-03 05:47:40.338|Rocket Loans
4398046516940|4663477414142156487|2020-07-03 13:41:06.157|Earnest
2199023259036|4663477414142153293|2020-07-03 16:01:48.944|Marcus by Goldman Sachs
3890|4663477414142153842|2020-07-03 16:35:12.412|Chase Bank
6290|4664040364095578393|2020-07-05 15:27:50.292|TD Bank
7479|4664321839072290630|2020-07-06 05:35:34.459|SunTrust
2199023257768|4664321839072283541|2020-07-06 12:05:59.437|Capital One
3270|4664884789025706299|2020-07-08 05:08:47.448|LendingPoint
4122|4664884789025707422|2020-07-08 10:09:09.931|Avant
4398046512111|4664884789025703244|2020-07-08 18:35:21.607|TD Bank
2199023262079|4664884789025710684|2020-07-09 02:18:46.461|PNC Bank
2199023259441|4665729213955839087|2020-07-11 09:28:54.587|Marcus by Goldman Sachs
6576|4665729213955842709|2020-07-11 13:27:58.026|Earnest
2199023259662|4665729213955839373|2020-07-11 18:10:22.22|Discover
2199023260518|4665729213955840520|2020-07-11 19:36:42.346|Kabbage
4398046511504|4666010688932545042|2020-07-12 11:49:16.284|Patch of Land
3076|4666292163909259320|2020-07-13 07:02:24.706|Fundbox
2199023256696|4666573638885967391|2020-07-14 12:52:38.085|Marcus by Goldman Sachs
2388|4666573638885969048|2020-07-14 17:08:02.578|RealtyMogul
2199023261917|4666855113862685036|2020-07-15 19:17:39.63|Funding Circle
7126|4667136588839396709|2020-07-16 20:35:47.844|Navy Federal Credit Union
6234|4667418063816106190|2020-07-17 20:46:07.186|Upgrade
2199023257387|4667699538792810916|2020-07-18 13:03:45.018|LendingPoint
7735|4667699538792818891|2020-07-18 21:14:16.167|OneMain Financial
4398046511519|4667699538792809002|2020-07-18 21:47:38.086|Wells Fargo
4186|4667699538792814060|2020-07-19 00:18:48.742|BlueVine
4398046512888|4667981013769521515|2020-07-19 14:53:47.513|Earnest
4398046514487|4667981013769523655|2020-07-19 21:33:47.036|SoFi
2199023257689|4668262488746232622|2020-07-20 18:43:55.497|Peerform
2199023257272|4668543963722942739|2020-07-21 08:32:47.146|Fundrise
5702|4668543963722948105|2020-07-21 17:16:46.256|American Express
1998|4668543963722943110|2020-07-21 23:05:02.973|Rocket Loans
2199023260953|4668825438699658317|2020-07-23 03:07:53.614|Capital One
2199023263072|4668825438699661190|2020-07-23 04:09:29.439|Bank of America
6957|4669106913676371097|2020-07-23 19:19:49.48|Citibank
2199023262379|4669106913676370935|2020-07-24 03:24:46.936|OneMain Financial
6876|4669388388653081661|2020-07-24 07:05:15.346|Prosper
2656|4669388388653075987|2020-07-24 16:03:59.825|Upgrade
4398046518822|4669388388653082803|2020-07-24 19:01:53.992|Earnest
2199023258689|4669669863629787282|2020-07-25 21:48:15.518|American Express
2199023258192|4669669863629786625|2020-07-25 21:51:00.612|PNC Bank
2199023263515|4669951338606504445|2020-07-26 11:23:19.237|Bank of America
433|4669951338606494288|2020-07-26 18:39:45.836|Marcus by Goldman Sachs
1675|4669951338606495961|2020-07-26 21:52:44.085|Patch of Land
4877|4669951338606500214|2020-07-27 00:55:02.133|PNC Bank
3293|4670232813583208791|2020-07-27 22:25:02.701|Avant
2199023256395|4670232813583205481|2020-07-28 01:54:42.786|Peerform
4398046512192|4670232813583205832|2020-07-28 03:48:08.392|Citibank
4398046517819|4670514288559924049|2020-07-28 06:35:26.309|TD Bank
2199023261614|4670514288559923179|2020-07-28 12:42:04.254|LendingPoint
4398046511865|4670514288559916031|2020-07-29 04:11:04.238|Best Egg
882|4670795763536626846|2020-07-29 16:24:41.475|Patch of Land
2199023260964|4670795763536632927|2020-07-29 18:20:19.194|Best Egg
2199023261743|4670795763536634009|2020-07-29 23:37:04.779|Funding Circle
6693|4670795763536634666|2020-07-30 03:05:11.065|Avant
2517|4671077238513339729|2020-07-30 09:56:37.544|Roofstock
4398046514700|4671640188466762459|2020-08-01 07:22:40.744|Prosper
2466|4671640188466760959|2020-08-01 09:49:18.152|LendingClub
1453|4671640188466759604|2020-08-01 10:39:29.158|Avant
630|4671640188466758485|2020-08-01 11:23:39.104|Funding Circle
3301|4671640188466762086|2020-08-01 23:24:13.929|OnDeck
2199023263158|4671921663443478544|2020-08-02 09:09:25.97|Kabbage
2199023257173|4672203138420181136|2020-08-03 06:22:04.18|LightStream
5719|4672484613396897304|2020-08-04 16:09:30.986|LightStream
2199023258149|4672484613396893110|2020-08-04 16:21:44.135|LightStream
5497|4672484613396896991|2020-08-05 02:03:30.81|RealtyMogul
