fromId|toId|createTime|relation
7062|5043|2020-02-09 10:18:49.456|business associate
2199023262341|4259|2020-04-26 04:50:42.906|siblings
4101|2199023259264|2020-05-08 09:42:27.821|other relatives
2199023263258|2199023259427|2020-05-25 07:18:24.589|siblings
2351|2199023256655|2020-05-26 16:45:28.183|friends
2199023262087|6743|2020-05-28 05:39:47.924|friends
2199023263549|2740|2020-06-04 02:22:32.55|parents
2199023258131|51|2020-06-11 02:44:49.681|friends
2199023261340|2199023263139|2020-06-14 17:14:48.767|other relatives
2199023263139|580|2020-06-18 11:56:15.194|siblings
4696|2183|2020-06-29 10:29:08.002|siblings
2199023256309|2199023256964|2020-07-06 06:27:23.772|parents
4398046513398|2199023260432|2020-07-08 08:24:36.214|friends
4398046519019|2199023259507|2020-07-15 08:10:53.573|other relatives
4398046519079|4398046517326|2020-07-18 00:06:17.791|business associate
2199023255560|5761|2020-07-27 08:10:24.411|parents
4398046518220|4398046512578|2020-07-27 21:10:11.113|parents
5484|4398046517602|2020-07-31 13:04:06.169|business associate
2199023259753|4398046513755|2020-08-01 23:50:45.804|siblings
4141|2199023263265|2020-08-04 14:14:03.51|siblings
5579|5255|2020-08-06 04:49:27.657|business associate
4603|1692|2020-08-12 11:35:08.436|siblings
6876|4398046512850|2020-08-13 02:59:53.719|business associate
4398046518823|4398046517770|2020-08-14 07:34:05.204|friends
2199023259685|2199023255846|2020-08-14 20:29:25.4|parents
2199023262079|4398046518822|2020-08-15 07:28:15.824|business associate
4182|4398046516459|2020-08-16 02:09:11.56|friends
2199023258441|2199023262132|2020-08-16 16:45:34.118|friends
2199023261027|2199023258346|2020-08-16 21:53:42.407|friends
4866|4398046517082|2020-08-17 00:21:47.286|parents
2199023261917|2199023255560|2020-09-01 02:35:11.282|friends
2351|4398046518282|2020-09-01 17:25:40.202|siblings
4398046511208|5220|2020-09-05 21:05:08.283|other relatives
6559|6597069768312|2020-09-12 05:12:37.429|parents
6574|2199023259036|2020-09-12 10:42:00.726|siblings
2199023260930|4398046516584|2020-09-15 19:32:14.237|siblings
2199023255607|2199023261614|2020-09-17 11:04:39.872|other relatives
4398046512075|2224|2020-09-19 20:33:58.231|business associate
2199023260008|2199023260751|2020-09-23 02:13:22.868|siblings
3908|2199023261196|2020-10-01 01:24:05.462|parents
4398046517683|5390|2020-10-05 22:30:46.422|business associate
7164|6597069771609|2020-10-10 10:22:39.015|siblings
648|4398046514015|2020-10-11 10:51:02.958|friends
4398046518489|6597069769037|2020-10-14 15:36:42.294|other relatives
2199023258612|2199023262173|2020-10-19 17:27:08.569|friends
5129|7567|2020-10-27 10:55:39.346|siblings
2199023260912|6597069771888|2020-11-05 16:23:04.189|siblings
6597069767855|6597069767738|2020-11-06 00:49:02.211|siblings
4398046518144|2199023263319|2020-11-08 00:51:50.201|business associate
6597069769225|6597069770217|2020-11-16 11:58:07.71|other relatives
4398046512967|6597069766911|2020-11-17 14:19:24.859|siblings
2199023258320|2199023262847|2020-11-18 05:36:39.71|other relatives
4378|4398046512471|2020-11-19 14:11:43.375|siblings
2203|4398046518282|2020-11-20 12:39:19.272|business associate
8796093028513|4398046511741|2020-11-22 09:15:34.737|friends
4398046514348|6597069768982|2020-11-23 01:59:08.563|parents
4398046515791|6597069766820|2020-11-26 10:44:21.601|siblings
2199023256964|6597069767646|2020-11-26 14:50:10.608|siblings
1049|6597069769449|2020-11-28 22:13:38.053|friends
2199023261138|2199023256252|2020-11-29 07:47:37.25|siblings
2199023261099|4398046518297|2020-11-29 13:04:01.793|siblings
6597069768326|5640|2020-12-01 00:06:38.322|parents
2199023257769|3637|2020-12-02 23:06:20.297|business associate
4398046512329|6597069774467|2020-12-03 20:25:11.685|friends
4398046515248|2199023262586|2020-12-07 03:59:52.328|business associate
668|8796093027861|2020-12-08 19:09:08.397|siblings
6693|6597069767482|2020-12-09 11:59:54.641|parents
6597069768965|6597069773749|2020-12-09 17:08:10.937|friends
6597069769274|2199023261987|2020-12-10 08:29:29.596|friends
6597069767047|6597069770179|2020-12-12 11:01:34.003|business associate
8796093024036|2199023256678|2020-12-13 05:08:36.224|other relatives
8796093027071|8796093029494|2020-12-13 09:22:06.933|business associate
2199023258908|2199023257173|2020-12-14 17:31:52.636|parents
2847|4851|2020-12-15 00:07:44.666|business associate
8796093025236|2199023257809|2020-12-15 18:11:24.227|business associate
2199023261792|636|2020-12-18 15:56:58.237|business associate
4398046513404|1658|2020-12-19 00:04:09.222|business associate
8796093028823|8796093028388|2020-12-19 12:37:27.239|friends
4398046517971|2199023263327|2020-12-21 07:06:54.885|siblings
2199023261073|4566|2020-12-23 10:33:45.439|friends
8796093028513|8796093024729|2020-12-24 01:36:55.321|friends
2199023261743|8796093022813|2020-12-26 22:07:13.971|friends
1836|4398046516735|2020-12-26 22:34:07.234|parents
1463|6597069767198|2020-12-27 06:34:22.558|business associate
2199023256552|3460|2020-12-27 07:22:01.804|business associate
7595|4398046514117|2020-12-27 08:00:33.197|business associate
1400|7064|2020-12-29 00:01:20.647|other relatives
6597069771289|6597069770968|2020-12-31 09:36:58.786|business associate
499|8796093030023|2021-01-03 18:37:15.655|friends
8796093028612|2199023257821|2021-01-03 20:32:05.567|friends
6597069772667|8796093026447|2021-01-04 13:31:35.908|parents
4398046513211|8796093027063|2021-01-08 02:16:45.022|business associate
6597069767803|2199023257425|2021-01-10 05:27:13.093|business associate
6597069773456|8796093025753|2021-01-14 11:22:20.754|business associate
6597069770390|5235|2021-01-14 16:52:12.392|friends
8796093023564|8796093029904|2021-01-16 05:01:48.03|business associate
8796093029984|8796093023755|2021-01-16 16:46:45.105|friends
6597069769358|6597069768857|2021-01-20 20:39:45.756|business associate
2199023260086|4398046515966|2021-01-21 04:43:54.599|siblings
4398046512866|8796093025538|2021-01-21 06:05:27.325|siblings
354|6597069767513|2021-01-22 01:34:08.636|friends
4398046518478|2199023258641|2021-01-27 06:38:02.958|siblings
8796093027056|3851|2021-01-28 02:18:18.475|business associate
2199023258884|4398046515798|2021-01-28 15:50:24.232|business associate
6597069770571|6597069773152|2021-01-29 12:36:20.054|siblings
8796093025262|4905|2021-01-29 19:39:04.296|other relatives
6597069770697|6597069770038|2021-01-30 16:23:03.674|friends
8796093029913|4398046518489|2021-01-31 05:50:04.408|friends
6597069767827|2199023261078|2021-01-31 16:00:27.355|friends
8796093029576|10995116281362|2021-02-04 15:02:41.837|siblings
8796093029360|5570|2021-02-05 05:31:24.966|business associate
6597069767803|8796093028114|2021-02-05 15:56:19.294|business associate
4398046511316|8796093028879|2021-02-07 01:01:23.097|friends
6597069773324|3120|2021-02-08 11:21:47.823|business associate
8796093027435|44|2021-02-08 14:43:45.13|siblings
8796093023634|4398046512863|2021-02-09 21:28:56.14|parents
2199023257246|1247|2021-02-11 10:09:06.277|parents
4398046513818|4398046511258|2021-02-12 01:34:20.209|siblings
2199023257611|6597069768848|2021-02-13 06:29:56.364|parents
6597069771913|4398046517026|2021-02-15 05:54:12.934|parents
4398046511308|10995116278005|2021-02-17 11:10:03.698|friends
8796093029933|2199023261472|2021-02-17 19:23:08.757|friends
2199023262568|8796093027972|2021-02-18 16:50:50.364|friends
8796093026460|4398046516067|2021-02-18 20:59:50.962|siblings
6597069767880|1025|2021-02-19 17:54:18.245|friends
6597069766775|8796093028588|2021-02-23 04:30:09.37|parents
6597069769225|6597069770144|2021-02-23 21:30:20.059|friends
6597069770179|2199023257396|2021-02-26 09:52:03.703|siblings
8796093024883|2199023257172|2021-02-26 12:29:08.36|friends
2199023262440|4398046514892|2021-02-26 18:20:45.596|business associate
6597069766710|6597069769992|2021-02-28 04:57:18.54|siblings
6597069772127|4398046517892|2021-02-28 07:57:09.868|business associate
10995116280792|8796093028778|2021-02-28 21:57:53.667|friends
4398046515173|10995116278582|2021-03-01 17:36:09.266|business associate
2199023257929|2199023256258|2021-03-02 09:40:15.753|friends
8796093024770|4398046518036|2021-03-03 06:15:17.676|siblings
8796093026336|10995116285577|2021-03-05 01:08:54.835|parents
2199023259068|8796093026460|2021-03-05 04:56:52.561|parents
2199023261417|6597069773728|2021-03-05 15:22:11.804|parents
2199023257929|8796093029494|2021-03-06 03:29:04.291|siblings
